Видеокарта,Цена,комплектация,область применения,особенности,объем видеопамяти,тип памяти,частота памяти,шина обмена с памятью,частота видеопроцессора,разъемы и интерфейсы,тип подключения,поддержка технологий,разъем дополнительного питания,максимальное разрешение,количество поддерживаемых мониторов,техпроцесс,TDP,SLI/NVLink/CrossFire
"Видеокарта PowerColor Radeon RX 6800 Fighter 16GB (AXRX 6800 16GBD6-3DH/OC), Retail",56690,Retail,игровая,необходимость дополнительного питания,16384 МБ,GDDR6,16000 МГц,256 бит,1925 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,7 нм,250 Вт,
Видеокарта ASUS TUF-RTX3060TI-O8GD6X-GAMING,48500,,,,8192 МБ,GDDR6X,,256 бит,,выход HDMI,PCI Express 4.0,,,,4,,,
"Видеокарта Palit GeForce RTX 3080 Ti GamingPro 12GB (NED308T019KB-132AA), Retail",87156,Retail,игровая,необходимость дополнительного питания,12288 МБ,GDDR6X,,384 бит,1365 МГц,"выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8 нм,350 Вт,
"Видеокарта ASUS ROG Strix Radeon RX 6600 XT OC 8GB, ROG-STRIX-RX6600XT-O8G-GAMING, Retail",38000,Retail,игровая,необходимость дополнительного питания,8192 МБ,GDDR6,16000 МГц,128 бит,2064 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,4,7 нм,160 Вт,
"Видеокарта GIGABYTE GeForce GT 710 Silent LP 2GB (GV-N710D5SL-2GL), Retail",6840,Retail,игровая,,2048 МБ,GDDR5,5010 МГц,64 бит,954 МГц,"выход DVI, выход HDMI",PCI Express 2.0,,,4096x2160,2,28 нм,19 Вт,
"Видеокарта Sapphire- Nitro+ RADEON RX 6700 XT 12G D6 OC, Bulk",34990,,профессиональная,,12288 МБ,GDDR6,,256 бит,,выход HDMI,PCI Express 4.0,,8 pin + 8 pin,7680×4320,4,8 нм,260 Вт,
Видеокарта ASUS GeForce GTX 1660 SUPER 6 ГБ (GTX1660S-O6G-Gaming),15795,,игровая,,6144 МБ,GDDR6,14002 МГц,,1830 МГц,выход DVI,,,,,,,,
Видеокарта RTX3060 GAMING OC 8GB GDDR6 128bit 2xHDMI 2xDP RTL,40462,Retail,игровая,,8000 МБ,GDDR6,1500 МГц,192 бит,1807 МГц,"выход DisplayPort, выход HDMI",PCI Express 4.0,,,,4,8 нм,,
"Видеокарта GIGABYTE GeForce RTX 4070 AERO OC 12G (GV-N4070AERO OC-12GD), Retail",72593,Retail,игровая,необходимость дополнительного питания,12288 МБ,GDDR6X,21000 МГц,192 бит,2565 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",16 pin,7680x4320,4,,,
"Видеокарта ASUS TUF Gaming GeForce GTX 1660 Ti EVO Gaming 6Gb, TUF-GTX1660TI-6G-EVO-GAMING, Retail",27064,Retail,игровая,необходимость дополнительного питания,6144 МБ,GDDR6,12002 МГц,192 бит,1770 МГц,"выход DVI, выход DisplayPort, выход HDMI x 2",PCI Express 3.0,,8 pin,7680x4320,4,12 нм,,
Видеокарта Gigabyte RTX4070 AERO OC 12GB,77330,,игровая,,,GDDR6X,,192 бит,2565 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка трассировки лучей",16 pin,7680x4320,4,,,
Видеокарта Gigabyte GTX1630 4GB GDDR5 128bit DVI HDMI DP RTL (311148),17300,"Видеокарта, инструкция, диск с ПО",игровая,,4096 МБ,GDDR6,12000 МГц,64 бит,1815 МГц,"выход DVI, выход DisplayPort, выход HDMI, DVI-D",PCI Express 3.0,,,7680x4320,3,12 нм,,
"Видеокарта Palit GeForce GTX 1660 SUPER StormX OC 6GB (NE6166SS18J9-161F), Retail",20990,Retail,игровая,необходимость дополнительного питания,6144 МБ,GDDR6,14000 МГц,192 бит,1530 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,3,12 нм,125 Вт,
"Видеокарта PowerColor Fighter Radeon RX 6700 10GB (AXRX 6700 10GBD6-3DH/OC), Retail",38036,Retail,игровая,необходимость дополнительного питания,10240 МБ,GDDR6,16000 МГц,160 бит,2495 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 6 pin,7680x4320,4,7 нм,,
"Видеокарта AFOX GeForce GT 710 2 GB (AF710-2048D3L5-V3), Retail",3690,Retail,,,2048 МБ,GDDR3,1600 МГц,64 бит,954 МГц,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,,,4096x2160,2,28 нм,,
Видеокарта GeForce GT 710 2 ГБ (GV-N710D3-2GL),10133,,игровая,,2048 МБ,GDDR3,,,954 МГц,,PCI Express 2.0,,,4096x2160,,,,
Видеокарта 6.0 Гб Gainward GeForce GTX 1660 Ti GHOST,15800,,игровая,необходимость дополнительного питания,6144 МБ,GDDR6,12000 МГц,192 бит,1770 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,поддержка Vulkan,8 pin,7680x4320,3,12 нм,120 Вт,
"Видеокарта GIGABYTE GeForce RTX 3070 VISION OC 8G (rev. 2.0) (GV-N3070VISION OC-8GD), Retail",55400,Retail,игровая,"Low Hash Rate, необходимость дополнительного питания",8192 МБ,GDDR6,14000 МГц,256 бит,1815 МГц,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка трассировки лучей",8 pin + 6 pin,7680x4320,4,8 нм,,
Видеокарта PowerColor PCI-E 4.0 4Gb GDDR6 Radeon RX 6500XT AXRX 4GBD6-DH AMD HDMIx1 DPx,13200,,,,4096 МБ,GDDR6,,,,,,,,,,,,
Видеокарта INNO3D GEFORCE RTX 3060 TI GDDR6X ICHILL X4 (C306T4-086XX-1820VA35R),43875,,игровая,необходимость дополнительного питания,8192 МБ,GDDR6X,19000 МГц,256 бит,1410 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8 нм,,
Видеокарта GIGABYTE RTX3060TI 8G GDDR6X N306TXGAMING OC-8GD,45136,,игровая,,8192 МБ,GDDR6X,19000 МГц,256 бит,1755 МГц,"выход DisplayPort x 2, выход HDMI x 2, интерфейс USB Type-C",PCI Express 4.0,,8 pin + 8 pin,7680x4320,4,8 нм,,
"Видеокарта MSI GeForce RTX 3060 Ti GAMING X TRIO 8GD6X, Retail",48390,Retail,игровая,необходимость дополнительного питания,8192 МБ,GDDR6X,19000 МГц,256 бит,1845 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8 нм,265 Вт,
Видеокарта Asus PCI-E 4.0 DUAL-RTX3060-O8G NVIDIA GeForce RTX 306 0 8192Mb 128 GDDR6 1837/15000 HDMIx1 DPx3 HDCP Ret,31990,,игровая,необходимость дополнительного питания,8192 МБ,GDDR6,15000 МГц,128 бит,1867 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8 нм,,
Видеокарта Radeon RX 6750 XT GAMING X TRIO 12G,54090,,игровая,,12288 МБ,GDDR6,18000 МГц,192 бит,2623 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка трассировки лучей,8 pin + 8 pin,7680x4320,,,250 Вт,
Плата видеокарты Zotac GeForce 8800 GTS 640MB,300₽,,,,640 МБ,,,,,,,,,,,,,
Видеокарта 12 Gb Gigabyte GeForce RTX3060 VISION OC (GV-N3060VISION OC-12GD 2.0),42843,,игровая,,12000 МБ,GDDR6,15000 МГц,192 бит,1837 МГц,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,,8 pin,7680x4320,4,8 нм,,
Видеокарта ZOTAC RTX 3080ti 12gb,69990,,,,12288 МБ,GDDR6X,,,,"выход DisplayPort, выход HDMI",,,,7680x4320,,,,
Видеокарта Palit RTX4070Ti GAMEROCK OC 12GB GDDR6X 192bit 3-DP HDMI RTL,96052,Retail,игровая,,12000 МБ,GDDR6X,21000 МГц,192 бит,2310 МГц,"выход DisplayPort, выход HDMI",PCI Express 4.0,NVIDIA CUDA,16 pin,7680x4320,4,,285 Вт,
"Видеокарта GIGABYTE GeForce RTX 3080 TURBO 10G, GV-N3080TURBO-10GD rev. 2.0, Retail",97244,Retail,игровая,необходимость дополнительного питания,10240 МБ,GDDR6X,19000 МГц,320 бит,1710 МГц,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,"поддержка CUDA, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8 нм,320 Вт,
Видеокарта JUSHA ATI RADEON HD6450 1GB,1999,OEM,игровая,пассивное охлаждение,1024 МБ,GDDR3,627 МГц,64 бит,625 МГц,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,,,2048x1536,3,40 нм,,
"Видеокарта Colorful GeForce RTX 2060 SUPER NB 8G V, Retail",26990,Retail,игровая,необходимость дополнительного питания,8192 МБ,GDDR6,14000 МГц,256 бит,1470 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка трассировки лучей",8 pin,,3,12 нм,175 Вт,
"Видеокарта AFOX GeForce GT 1030 2 GB (AF1030-2048D5L5-V2), Retail",7294,Retail,игровая,,2048 МБ,GDDR5,6008 МГц,64 бит,1265 МГц,"выход DVI, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP",,4096x2160,2,14 нм,30 Вт,
"Видеокарта GIGABYTE GeForce RTX 2060 OC 6G (rev. 2.0) (GV-N2060OC-6GD), Retail",55000,Retail,игровая,,6144 МБ,GDDR6,14000 МГц,192 бит,1755 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 3.0,,8 pin,7680x4320,4,12 нм,160 Вт,
Видеокарта MSI RTX4090 SUPRIM 24GB GDDR6X 384-bit HDMI DPx3 (027656),234777,,игровая,,24576 МБ,GDDR6X,21000 МГц,384 бит,2610 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка CUDA,16 pin,7680x4320,4,4 нм,,
