Видеокарта,Цена,комплектация,область применения,особенности,объем видеопамяти,тип памяти,частота памяти,шина обмена с памятью,частота видеопроцессора,разъемы и интерфейсы,тип подключения,поддержка технологий,разъем дополнительного питания,максимальное разрешение,количество поддерживаемых мониторов,техпроцесс,TDP,SLI/NVLink/CrossFire
"Видеокарта Palit GeForce RTX 4070 Ti GameRock Classic 12G (NED407T019K9-1046G), Retail",92550,Retail,игровая,необходимость дополнительного питания,12288 МБ,GDDR6X,21000 МГц,192 бит,2610 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",16 pin,7680x4320,4,5 нм,285 Вт,
Видеокарта XFX Radeon RX 480 8Gb,7900,OEM,игровая,необходимость дополнительного питания,8192 МБ,GDDR5,8000 МГц,256 бит,1288 МГц,"выход DVI, выход DisplayPort x 3, выход HDMI",PCI Express 3.0,,8 pin,5120x2880,4,14 нм,150 Вт,
"Видеокарта Biostar Radeon RX 550 4 ГБ (VA5505RF41), Retail",7999,Retail,игровая,,4096 МБ,GDDR5,6000 МГц,128 бит,1100 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,поддержка Vulkan,,4096x2160,3,14 нм,,поддержка SLI/CrossFire
"Видеокарта Palit GeForce GT 710 Silent 2GB (NEAT7100HD46-2080H), Retail",4468,Retail,игровая,,2048 МБ,GDDR3,1600 МГц,64 бит,954 МГц,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,поддержка CUDA,,2560x1600,2,28 нм,19 Вт,
Видеокарта KFA2 GeForce RTX 3060 Ti EX LHR 8GB (36ISL6MD1WTK),41990,Retail,игровая,,8192 МБ,GDDR6,14000 МГц,256 бит,1710 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка трассировки лучей,8 pin,7680x4320,4,8 нм,,
MSI Видеокарта MSI PCI-E 4.0 RTX 3050 VENTUS 2X 8G OC NVIDIA GeForce 8192Mb 128 GDDR6 1807/14000 HDMIx1 DPx3 HDCP Ret,36400,,игровая,,8192 МБ,GDDR6,,,1807 МГц,выход HDMI,,,,,,,,
Видеокарта Palit PCI-E 4.0 PA-RTX3050 STORMX NV RTX3050 8192Mb 128 GDDR6 1552/14000/HDMIx1/DPx3/HDCP,21990,OEM,,,8192 МБ,GDDR6,,,,,PCI Express 4.0,,,,,,,
Видеоадаптер PCI-E Gigabyte GeForce GTX 1050 Ti 1328Mhz 4096Mb 7008Mhz 128 bit,8990,,игровая,,4096 МБ,GDDR5,7008 МГц,128 бит,1328 МГц,выход HDMI,PCI Express 3.0,,,,4,,75 Вт,
"Видеокарта EVGA GeForce RTX 3080 FTW3 ULTRA GAMING 10GB (10G-P5-3897-KR), Retail",67990,Retail,игровая,,10240 МБ,GDDR6X,19000 МГц,320 бит,1800 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,,8 pin+8 pin+8 pin,7680x4320,4,8 нм,320 Вт,
"Видеокарта MSI GeForce RTX 3090 Ti GAMING X TRIO 24G, Retail",119789,Retail,игровая,необходимость дополнительного питания,24576 МБ,GDDR6X,21000 МГц,384 бит,1920 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка трассировки лучей",16 pin,7680x4320,4,8 нм,450 Вт,поддержка NVLink
"Видеокарта GIGABYTE GeForce GTX 1660 Ti OC 6G (GV-N166TOC-6GD), Retail",25121,Retail,игровая,,6144 МБ,GDDR6,12000 МГц,192 бит,1800 МГц,"выход DisplayPort, выход DisplayPort x 3, выход HDMI",PCI Express 3.0,,8 pin,7680x4320,4,12 нм,120 Вт,
Видеокарта 8 Gb Zotac GeForce RTX3070 Gaming Twin Edge OC LHR (ZT-A30700H-10PLHR),61189,Retail,игровая,Low Hash Rate,8192 МБ,GDDR6,14000 МГц,256 бит,,"выход DisplayPort, выход DisplayPort x 3, интерфейс USB Type-C",PCI Express 4.0,поддержка трассировки лучей,8 pin + 8 pin,7680x4320,4,8 нм,,
"Видеокарта GIGABYTE GeForce GTX 1650 D6 OC 4G (GV-N1656D6-4GD) rev. 1.0, Retail",14772,Retail,игровая,,4096 МБ,GDDR6,12000 МГц,128 бит,1590 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",,7680x4320,3,12 нм,75 Вт,
"Видеокарта ASUS Dual GeForce RTX 2060 EVO 6GB (DUAL-RTX2060-6G-EVO), Retail",33989,Retail,игровая,,6144 МБ,GDDR6,14000 МГц,192 бит,1680 МГц,"выход DVI, выход DisplayPort, выход HDMI x 2",PCI Express 3.0,,8 pin,7680x4320,4,12 нм,,
"Видеокарта Palit GeForce GTX 1660 SUPER StormX 6GB (NE6166S018J9-161F), Retail",23290,Retail,игровая,,6144 МБ,GDDR6,14000 МГц,192 бит,1530 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка Vulkan",8 pin,7680x4320,3,12 нм,125 Вт,
"Видеокарта GIGABYTE GeForce RTX 3060 Ti EAGLE OC 8G (rev. 2.0) (GV-N306TEAGLE OC-8GD), Retail",32800,Retail,игровая,Low Hash Rate,8192 МБ,GDDR6,14000 МГц,256 бит,1410 МГц,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,,8 pin,7680x4320,4,8 нм,180 Вт,
"Видеокарта Palit GeForce RTX 3060 Ti Dual 8GB (NE6306T019P2-190AD), Retail",33200,Retail,игровая,"Low Hash Rate, необходимость дополнительного питания",8192 МБ,GDDR6,14000 МГц,256 бит,1410 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8 нм,200 Вт,
Видеокарта Sapphire RX 470-4GB,8999,OEM,игровая,необходимость дополнительного питания,4096 МБ,GDDR5,7000 МГц,256 бит,1236 МГц,"выход DVI, выход DisplayPort x 2, выход HDMI x 2",PCI Express 3.0,,8 pin,3840x2160,5,14 нм,175 Вт,поддержка SLI/CrossFire
Видеокарта Palit GeForce 9600 GT 650Mhz PCI-E 2.0 512Mb 1800Mhz 256 bit 2xDVI TV HDCP YPrPb,1170,,,необходимость дополнительного питания,512 МБ,GDDR3,1800 МГц,,650 МГц,выход DVI x 2,,,,,,,,
Видеокарта 12Gb PCI-E GDDR6 GIGABYTE RADEON RX 6700XT GV-R67XTEAGLE-12GD 2xHDMI+2xDP,35000,,,,,,,,,,,,,,,,,
"Видеокарта Sapphire Nitro+ Radeon RX 570 1340MHz PCI-E 3.0 8192MB 7000MHz 256 bit DVI 2xHDMI HDCP, Retail",10890,Retail,игровая,,8192 МБ,GDDR5,7000 МГц,256 бит,1340 МГц,"выход DVI, выход DisplayPort x 2, выход HDMI x 2",PCI Express 3.0,,8 pin + 6 pin,7680x4320,5,14 нм,150 Вт,поддержка SLI/CrossFire
"Видеокарта Biostar Radeon RX560 4GB (VA5615RF41), Retail",9685,Retail,,,4096 МБ,GDDR5,,128 бит,1175 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,поддержка CUDA,,7680x4320,3,,,
"Видеокарта Sapphire Radeon RX 6600 8Gb (11310-05-20G), Retail",32100,Retail,игровая,необходимость дополнительного питания,8192 МБ,GDDR6,14000 МГц,128 бит,2491 МГц,"выход DisplayPort, выход HDMI",PCI Express 4.0,поддержка HDCP,8 pin,7680x4320,2,7 нм,140 Вт,
"Видеокарта Colorful GeForce GTX1650 4Gb (GTX 1650 NB 4GD6-V), Retail",15990,Retail,игровая,,4096 МБ,GDDR6,12000 МГц,128 бит,1410 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка Vulkan",6 pin,7680x4320,3,12 нм,75 Вт,
"Видеокарта ASUS Dual Radeon RX 6600 8Gb, DUAL-RX6600-8G, Retail",36835,Retail,игровая,необходимость дополнительного питания,8192 МБ,GDDR6,14000 МГц,128 бит,1626 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,4,7 нм,132 Вт,поддержка NVLink
"Видеокарта PowerColor Hellhound Radeon RX 6650 XT 8GB (AXRX 6650 XT 8GBD6-3DHL/OC), Retail",31000,Retail,игровая,необходимость дополнительного питания,8192 МБ,GDDR6,17500 МГц,128 бит,2689 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,4,8 нм,,
"Видеокарта GIGABYTE Arc A380 WINDFORCE OC 6GB, GV-IA380WF2OC-6GD, Retail",14210,Retail,игровая,необходимость дополнительного питания,6144 МБ,GDDR6,15500 МГц,96 бит,2000 МГц,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,"поддержка Vulkan, поддержка трассировки лучей",6 pin,7680x4320,4,6 нм,75 Вт,
Видеокарта Palit GeForce GTS 250 702Mhz PCI-E 2.0 512Mb 2000Mhz 256 bit DVI HDMI HDCP E-Green,1404,,,,,,,,,,,,,,,,,
Видеокарта AFOX GeForce GTX 1050 Ti 4 ГБ (AF1050TI-4096D5H5-V2),14250,,игровая,,4096 МБ,GDDR5,7000 МГц,128 бит,1290 МГц,"выход DisplayPort, выход HDMI",PCI Express 4.0,,,7680x4320,3,14 нм,75 Вт,
"Видеокарта Sinotex Ninja GeForce GT 610 1GB (NK61NP013F), Retail",2440,Retail,игровая,,1024 МБ,GDDR3,1000 МГц,64 бит,810 МГц,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,,,2560x1600,3,40 нм,,
"Видеокарта Sinotex Ninja GeForce GT 610 1GB (NK61NP013F), Retail",2440,Retail,игровая,,1024 МБ,GDDR3,1000 МГц,64 бит,810 МГц,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,,,2560x1600,3,40 нм,,
Видеокарта Palit PCI-E PA-GTX1660 STORMX 6G BULK nVidia GeForce GTX 1660 6144Mb 192bit GDDR5 1530/8000 DVIx1/HDMIx1/DPx1/HDCP Bulk,14990,,игровая,,6144 МБ,GDDR5,,192 бит,,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,,8 pin,7680x4320,3,12 нм,120 Вт,
"Видеокарта Palit GeForce RTX 3080 GamingPro 12GB (NED3080019KB-132AA), Retail",102346,Retail,игровая,"Low Hash Rate, необходимость дополнительного питания",12288 МБ,GDDR6X,19000 МГц,320 бит,1710 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8 нм,350 Вт,
Видеокарта AMD Radeon RX580 8Gb GDDR5 256bit dual fan,8490,OEM,,необходимость дополнительного питания,8192 МБ,GDDR5,1750 МГц,256 бит,1284 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,поддержка Vulkan,8 pin,3840x2160,3,14 нм,150 Вт,
"Видеокарта GIGABYTE GeForce RTX 4070 WINDFORCE OC 12G (GV-N4070WF3OC-12GD), Retail",72446,Retail,игровая,необходимость дополнительного питания,12288 МБ,GDDR6X,21000 МГц,192 бит,2490 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,,,
"Видеокарта GIGABYTE GeForce GTX 1660 OC 6G (GV-N1660OC-6GD), Retail",62819,Retail,игровая,,6144 МБ,GDDR5,8002 МГц,192 бит,1830 МГц,"выход DisplayPort, выход DisplayPort x 3, выход HDMI",PCI Express 3.0,,8 pin,7680x4320,4,12 нм,,
Графический ускоритель NVIDIA Tesla V100 с тензорными ядрами,347700,,,,,,,,,,,,,,,,,
Видеокарта 4 Гб Palit NVIDIA GeForce GTX 1650 StormX (NE51650006G1-1170F BULK),13300,Bulk,игровая,,4096 МБ,GDDR5,,128 бит,1485 МГц,выход HDMI,PCI Express 3.0,,,4096x2160,2,12 нм,,
"Видеокарта ASUS Phoenix GeForce RTX 3050 8GB, PH-RTX3050-8G, Retail",23674,Retail,игровая,необходимость дополнительного питания,8192 МБ,GDDR6,14000 МГц,128 бит,1552 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8 нм,130 Вт,
"Видеокарта PNY RTX A2000 12Gb, VCNRTXA2000-12GB, Retail",61333,Retail,профессиональная,низкопрофильная карта (Low Profile),12288 МБ,GDDR6,,192 бит,,"выход DisplayPort, выход Mini DisplayPort x 4",PCI Express 4.0,"поддержка CUDA, поддержка трассировки лучей",,7680x4320,4,8 нм,70 Вт,
"Видеокарта GIGABYTE Radeon RX 6650 XT EAGLE 8G (GV-R665XTEAGLE-8GD), Retail",33630,Retail,,необходимость дополнительного питания,8192 МБ,GDDR6,17500 МГц,128 бит,2635 МГц,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,7 нм,,
"Видеокарта GIGABYTE AORUS GeForce RTX 3060 12GB LHR (GV-N3060AORUS E-12GD V2.0 LHR), Retail",43780,Retail,игровая,"Low Hash Rate, необходимость дополнительного питания",12288 МБ,GDDR6,15000 МГц,192 бит,1867 МГц,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 6 pin,7680x4320,4,8 нм,170 Вт,
Видеокарта Palit RTX4070 GAMINGPRO OC 12GB GDDR6X 192bit,75702,,игровая,,12000 МБ,GDDR6X,21000 МГц,192 бит,1920 МГц,"выход DisplayPort, выход HDMI",PCI Express 4.0,NVIDIA CUDA,16 pin,7680x4320,4,,215 Вт,
Видеокарта BFG GeForce 8800 GTS 675Mhz PCI-E 512Mb 1940Mhz 256 bit 2xDVI TV HDCP YPrPb,1170,,,,,,,,,,,,,,,,,
"Видеокарта ASUS TUF Gaming GeForce RTX 3080 Ti OC 12GB(TUF-RTX3080Ti-O12G-GAMING), Retail",135000,Retail,игровая,,12288 МБ,GDDR6X,19000 МГц,384 бит,1755 МГц,"выход DisplayPort x 3, выход HDMI x 2, интерфейс USB Type-C",PCI Express 4.0,,8 pin + 8 pin,7680x4320,4,8 нм,350 Вт,
"Видеокарта MSI GeForce GTX 1660 SUPER VENTUS XS 6GB, Retail",21590,Retail,игровая,необходимость дополнительного питания,6144 МБ,GDDR6,14000 МГц,192 бит,1815 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 3.0,поддержка CUDA,8 pin,7680x4320,4,12 нм,125 Вт,
"Видеокарта AFOX GeForce GT 740 4GB (AF740-4096D5H3-V3), Retail",6490,Retail,,,4096 МБ,GDDR5,5000 МГц,128 бит,993 МГц,"выход DVI, выход HDMI, выход VGA",PCI Express 3.0,"поддержка CUDA, поддержка HDCP",,4096x2160,2,28 нм,,
"Видеокарта GIGABYTE GeForce RTX 4080 16GB AERO OC (GV-N4080AERO OC-16GD), Retail",119540,Retail,игровая,необходимость дополнительного питания,16384 МБ,GDDR6X,22400 МГц,256 бит,2535 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка трассировки лучей",16 pin,7680x4320,4,,,
"Видеокарта GIGABYTE RX 6900 XT GAMING OC 16G (GV-R69XTGAMING OC-16GD), Retail",63900,Retail,игровая,необходимость дополнительного питания,16384 МБ,GDDR6,16000 МГц,256 бит,2050 МГц,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin+8 pin+8 pin,7680x4320,4,7 нм,,
"Видеокарта ASUS Phoenix GeForce RTX 3060 V2 12GB (PH-RTX3060-12G-V2), Retail",33140,Retail,игровая,,12288 МБ,GDDR6,15000 МГц,192 бит,1320 МГц,"выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,,8 pin,7680x4320,4,8 нм,170 Вт,
Видеокарта Gigabyte RTX4070 EAGLE OC 12GB,74074,,игровая,,,GDDR6X,,192 бит,2505 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка трассировки лучей",16 pin,7680x4320,4,,,
Видеокарта OCPC PCI-E 4.0 OCVN3070G8F2L DUAL 8G NV RTX 3070 8GB 256-bit GDDR6 HDMIx1/DPx3 (OCVN3070G8F2L),44990,,игровая,,8192 МБ,GDDR6,14000 МГц,256 бит,1725 МГц,"выход DVI, выход DisplayPort x 3, выход HDMI, выход VGA",PCI Express 4.0,,8 pin,7680x4320,,8 нм,,
Видеокарта Sapphire Rx 470 - 8GB Nitro +,8900,OEM,игровая,необходимость дополнительного питания,8192 МБ,GDDR5,6600 МГц,256 бит,1270 МГц,"выход DVI x 2, выход DisplayPort, выход HDMI",PCI Express 3.0,поддержка Vulkan,8 pin,5120x2880,4,14 нм,120 Вт,поддержка SLI/CrossFire
"Видеокарта MSI Radeon RX 570 ARMOR 8GB OC, Retail",8900,Retail,игровая,необходимость дополнительного питания,8192 МБ,GDDR5,7000 МГц,256 бит,1268 МГц,"выход DVI, выход DisplayPort x 3, выход HDMI",PCI Express 3.0,"поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,5,14 нм,150 Вт,поддержка SLI/CrossFire
"Видеокарта MSI GeForce GT 1030 2GHD4 LP OC 2GB, Retail",5900,Retail,игровая,,2048 МБ,GDDR4,2100 МГц,64 бит,1430 МГц,"выход DisplayPort, выход HDMI, интерфейс USB Type-C",PCI Express 3.0,,,4096x2160,2,14 нм,20 Вт,
"Видеокарта Palit GeForce RTX 3060 Dual OC 12 GB LHR (NE63060T19K9-190AD V1), Retail",38030,Retail,игровая,"Low Hash Rate, необходимость дополнительного питания",12288 МБ,GDDR6,16000 МГц,192 бит,1837 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка трассировки лучей",8 pin,7680x4320,4,8 нм,180 Вт,
"Видеокарта GIGABYTE GT 1030 Silent Low Profile 2G (GV-N1030SL-2GL), Retail",8126,Retail,игровая,,2048 МБ,GDDR5,6008 МГц,64 бит,1252 МГц,"выход DVI, выход HDMI",PCI Express 3.0,,,4096x2160,2,14 нм,30 Вт,
"Видеокарта Palit GeForce RTX 3060 Ti Dual OC 8GB (NE6306TS19P2-190AD), Retail",40660,Retail,игровая,,8192 МБ,GDDR6,14000 МГц,256 бит,1410 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,,8 pin,7680x4320,4,8 нм,200 Вт,
Видеокарта Ninja RTX3060 12GB GDDR6 192bit HDMI DP (NK306F126F),31690,,игровая,,12288 МБ,GDDR6,,192 бит,,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка CUDA,8 pin,7680x4320,4,8 нм,,
Gainward GeForce GT 220 635Mhz PCI-E 2.0 512Mb 800Mhz 128 bit DVI HDMI HDCP,1050,,,,,,,,,,,,,,,,,
"Видеокарта AFOX GeForce GT 1030 2048Mb LP Single Fan (AF1030-2048D5L5), Retail",8452,Retail,игровая,,2048 МБ,GDDR5,6000 МГц,64 бит,1227 МГц,"выход DVI, выход HDMI",PCI Express 3.0,,,3840x2160,2,14 нм,,
"Видеокарта MSI GeForce RTX 3080 VENTUS 3X PLUS 10G OC LHR, Retail",68000,Retail,игровая,"Low Hash Rate, необходимость дополнительного питания",10240 МБ,GDDR6X,19000 МГц,320 бит,1740 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8 нм,320 Вт,
"Видеокарта ASUS TUF Gaming GeForce GTX 1660 Ti OC Edition 6GB (TUF-GTX1660TI-O6G-GAMING), Retail",27899,Retail,игровая,необходимость дополнительного питания,6144 МБ,GDDR6,12002 МГц,192 бит,1500 МГц,"выход DVI, выход DisplayPort, выход HDMI x 2",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,4,12 нм,,
Видеокарта Colorful RTX3060 iGame Ultra W OC 8GB-V 8GB GDDR6 128bit 3xDP+HDMI,47460,,игровая,,8192 МБ,GDDR6,15000 МГц,192 бит,,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка трассировки лучей,8 pin + 8 pin,7680x4320,,8 нм,200 Вт,
Видеокарта KFA2 Galax GTX 1660 SUPER,18999,Retail,игровая,необходимость дополнительного питания,6144 МБ,GDDR6,14000 МГц,192 бит,1530 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,3,12 нм,125 Вт,поддержка SLI/CrossFire
"Видеокарта Sinotex Ninja GeForce GTX 750 Ti 2GB (NH75TI025F), Retail",8490,Retail,игровая,необходимость дополнительного питания,2048 МБ,GDDR5,5400 МГц,128 бит,1020 МГц,"выход DVI, выход HDMI, выход VGA, DVI-D, PCI-E",PCI Express 3.0,,6 pin,4096x2160,3,28 нм,60 Вт,
Видеокарта Palit GeForce RTX 3050 StormX,26130,Retail,игровая,,8000 МБ,GDDR6,14000 МГц,128 бит,1777 МГц,"выход DVI, выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка трассировки лучей",6 pin,7680x4320,3,8 нм,115 Вт,
Видеокарта ASUS GeForce RTX 3060 TI 8Gb (TUF-RTX3060TI-O8GD6X-GAMING),54990,Retail,игровая,,8192 МБ,GDDR6X,,256 бит,,"выход DisplayPort x 3, выход HDMI x 2",PCI Express 4.0,"поддержка CUDA, поддержка HDCP",8 pin + 8 pin,7680x4320,4,,,
"Видеокарта GIGABYTE GeForce RTX 2060 SUPER WINDFORCE OC 8G (rev. 1.0/1.1), Retail",27990,Retail,игровая,,8192 МБ,GDDR6,14000 МГц,256 бит,1680 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 3.0,,8 pin,7680x4320,4,12 нм,,
Видеокарта NVIDIA GeForce RTX 4080 ASUS 16Gb (TUF-RTX4080-O16G-GAMING),123990,,игровая,,16384 МБ,GDDR6X,22400 МГц,256 бит,2625 МГц,выход HDMI x 2,PCI Express 4.0,,,,,,,
"Видеокарта ASUS Phoenix GeForce GT 1030 OC 2GB (PH-GT1030-O2G), Retail",9827,Retail,игровая,,2048 МБ,GDDR5,6008 МГц,64 бит,1252 МГц,"выход DVI, выход HDMI",PCI Express 3.0,,,4096x2160,2,14 нм,30 Вт,
"Графический процессор TESLA A100 80GB HBM2, PCIe x16 4.0, Dual Slot FHFL, Passive, 250W (900-21001-0020-000)",1520,,,,81920 МБ,HBM2,,,,,PCI Express 4.0,,,,,,,
Видеокарта 128Mb AGP DDR D-Sub+DVI+TV Out ATI RADEON 9600,650₽,,,,128 МБ,,,,,выход DVI,AGP,,,,,,,
Видеокарта MSI Radeon RX 6600 XT 8192Mb MECH 2X OC (RX 6600 XT MECH 2X 8G OC RU),32000,Retail,игровая,,8192 МБ,GDDR6,1600 МГц,128 бит,2602 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка трассировки лучей,8 pin,7680x4320,4,7 нм,,
"Видеокарта AFOX Radeon RX 580 2048SP 8GB (AFRX580-8192D5H3-V2), Retail",12999,Retail,,необходимость дополнительного питания,8192 МБ,GDDR5,8000 МГц,256 бит,1257 МГц,"выход DVI, выход DisplayPort x 3, выход HDMI",PCI Express 3.0,поддержка HDCP,8 pin,3840x2160,4,14 нм,,
"Видеокарта MSI GeForce RTX 2060 Ventus GP OC 6GB, Retail",36186,Retail,игровая,,6144 МБ,GDDR6,14000 МГц,192 бит,1710 МГц,"выход DisplayPort, выход DisplayPort x 3, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,12 нм,160 Вт,
Видеокарта Sapphire Radeon RX 6750 XT Pulse Gaming OC 12GB (11318-03-20G),44437,,игровая,необходимость дополнительного питания,12288 МБ,GDDR6,18000 МГц,192 бит,2618 МГц,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка Vulkan, поддержка трассировки лучей",8 pin + 6 pin,7680x4320,4,7 нм,250 Вт,
"Видеокарта GIGABYTE Radeon RX 6400 EAGLE 4G (GV-R64EAGLE-4GD), Retail",15221,Retail,,,4096 МБ,GDDR6,16000 МГц,64 бит,2321 МГц,"выход DisplayPort, выход HDMI",PCI Express 4.0,поддержка HDCP,,7680x4320,2,6 нм,,
"Видеокарта ASUS Phoenix GeForce GTX 1650 OC 4GB (PH-GTX1650-O4GD6-P), Retail",16900,Retail,игровая,,4096 МБ,GDDR6,12000 МГц,128 бит,1635 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,,,7680x4320,3,12 нм,,
"Видеокарта Colorful GeForce GTX 1050 Ti 4 GB (GTX1050Ti 4G-V), Retail",14216,Retail,игровая,необходимость дополнительного питания,4096 МБ,GDDR5,7000 МГц,128 бит,1290 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,поддержка CUDA,6 pin,4096x2160,3,14 нм,75 Вт,
Asus Nvidia GeForce RTX 3060 Ti Dual 8Gb OC,52900,,игровая,необходимость дополнительного питания,8192 МБ,GDDR6,14000 МГц,256 бит,1710 МГц,"выход DisplayPort x 3, выход HDMI x 2",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8 нм,,
"Видеокарта GIGABYTE Radeon RX 570 GAMING 8G rev. 2.0 (GV-RX570GAMING-8GD), Retail",10200,Retail,игровая,,8192 МБ,GDDR5,7000 МГц,256 бит,1244 МГц,"выход DVI, выход DisplayPort x 3, выход HDMI",PCI Express 3.0,,8 pin,7680x4320,5,14 нм,,
Gigabyte GeForce GT 1030 OC 2G [GV-N1030OC-2GI],5500,,,,,,,,,,,,,,,,,
Видеокарта ASUS GeForce GT730 GDDR5-2Gb,5650,,,низкопрофильная карта (Low Profile),2048 МБ,GDDR5,1750 МГц,64 бит,902 МГц,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,,,2560x1600,3,28 нм,25 Вт,
"Видеокарта Palit GeForce GTX 1050 Ti StormX 4GB (NE5105T018G1-1070F), OEM",15390,OEM,игровая,,4096 МБ,GDDR5,7000 МГц,128 бит,1290 МГц,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка Vulkan",,4096x2160,3,14 нм,75 Вт,
"Видеокарта ASUS ROG STRIX GeForce RTX 3080 V2 GAMING WHITE (ROG-STRIX-RTX3080-O10G-WHITE-V2), Retail",86000,Retail,игровая,необходимость дополнительного питания,10240 МБ,GDDR6X,19000 МГц,320 бит,1905 МГц,"выход DisplayPort x 3, выход HDMI x 2, интерфейс USB Type-C",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin+8 pin+8 pin,7680x4320,4,8 нм,320 Вт,
"Видеокарта ASUS ROG Strix GeForce RTX 4070Ti 12GB OC (ROG-STRIX-RTX4070TI-O12G-GAMING), Retail",108994,Retail,игровая,необходимость дополнительного питания,12288 МБ,GDDR6X,21000 МГц,192 бит,2790 МГц,"выход DisplayPort x 3, выход HDMI x 2",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",16 pin,7680x4320,4,4 нм,,
