Видеокарта,Цена,комплектация,область применения,объем видеопамяти,тип памяти,шина обмена с памятью,разъемы и интерфейсы,техпроцесс,тип подключения,TDP,разъем дополнительного питания,максимальное разрешение,количество поддерживаемых мониторов,поддержка технологий,особенности,частота памяти,частота видеопроцессора,SLI/NVLink/CrossFire
"Видеокарта ZOTAC GAMING GeForce RTX 3050 Twin Edge OC 8Gb (ZT-A30500H-10M), Retail",30361,Retail,игровая,8192 МБ,GDDR5X,128 бит,"выход DisplayPort x 3, выход HDMI",,PCI Express 4.0,130 Вт,8 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP, поддержка трассировки лучей",необходимость дополнительного питания,14000 МГц,1807 МГц,
"Видеокарта GIGABYTE GeForce RTX 4080 16GB EAGLE (GV-N4080EAGLE-16GD), Retail",106530,Retail,игровая,16384 МБ,GDDR6X,256 бит,"выход DisplayPort x 3, выход HDMI",,PCI Express 4.0,,16 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP, поддержка трассировки лучей",необходимость дополнительного питания,22400 МГц,2505 МГц,
"Видеокарта MSI GeForce GT 730 2GB (N730K-2GD3H/LP), Retail",11882,Retail,,2048 МБ,GDDR3,64 бит,"выход DVI, выход HDMI, выход VGA",40 нм,PCI Express 2.0,23 Вт,,4096x2160,3,поддержка HDCP,"низкопрофильная карта (Low Profile), пассивное охлаждение",1600 МГц,902 МГц,
Видеокарта Gigabyte RTX3060Ti 8GB GDDR6 256bit 2xHDMI 2xDP RTL (20) (311186),41880,"Видеокарта, инструкция, диск с ПО",игровая,8192 МБ,GDDR6,256 бит,"выход DisplayPort, выход DisplayPort x 2, выход HDMI, выход HDMI x 2",8 нм,PCI Express 4.0,,8 pin,7680x4320,4,,,14000 МГц,1680 МГц,
"Видеокарта MSI GeForce GTX 1050 TI 4G OCV1, Retail",12500,Retail,игровая,4096 МБ,GDDR5,128 бит,"выход DVI, выход DisplayPort, выход HDMI",14 нм,PCI Express 3.0,75 Вт,,7680x4320,3,,,7008 МГц,1341 МГц,
Видеокарта MSI Radeon RX 570 1268Mhz PCI-E 3.0 4096Mb 7000Mhz 256 bit DVI HDMI 3xDisplayPort HDCP Ar,11240,,,,GDDR5,128 бит,,,,,,,,,,,,
Видеокарта PCI-e nVidia GeForce 8800 GTS 512Mb GDDR3 256bit Asus,2090,OEM,,512 МБ,GDDR3,256 бит,,,PCI Express 2.0,,,,2,,,,,
"Видеокарта GIGABYTE GeForce RTX 2060 D6 6G (GV-N2060D6-6GD), Retail",19990,Retail,игровая,6144 МБ,GDDR6,192 бит,"выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",12 нм,PCI Express 3.0,160 Вт,8 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",необходимость дополнительного питания,14000 МГц,1680 МГц,
PALIT Видеокарта Palit PCI-E 4.0 PA-RTX4080 GAMEROCK OC NVIDIA GeForce RTX 4080 16384Mb 256 GDDR6X 2205/22400 HDMIx1 DPx3 HDCP Ret NED4080S19T2-1030G,111000,,игровая,16384 МБ,GDDR6X,,выход HDMI,,,,,,,,,,,
"Видеокарта ASUS TUF Gaming GeForce RTX 3070 Ti 8GB (TUF-RTX3070TI-8G-GAMING), Retail",77692,Retail,игровая,8192 МБ,GDDR6X,256 бит,"выход DisplayPort x 3, выход HDMI x 2",8 нм,PCI Express 4.0,290 Вт,8 pin + 8 pin,7680x4320,4,"поддержка CUDA, поддержка Vulkan, поддержка трассировки лучей",,19000 МГц,1770 МГц,поддержка SLI/CrossFire
Видеокарта 16Gb PCI-E GDDR6 RADEON RX 6900X PowerColor AXRX 6900XT 16GBD6-3DHE/OC HDMI+3xDP,61000,,,,,,,,,,,,,,,,,
"Видеокарта Colorful GeForce RTX 3060 Battle-Ax NB DUO 8GB (RTX 3060 NB DUO 8GB-V), Retail",30000,Retail,игровая,8192 МБ,GDDR6,192 бит,,8 нм,PCI Express 4.0,,8 pin,7680x4320,4,поддержка CUDA,,15000 МГц,1320 МГц,
Видеокарта Gigabyte RX7900XTX GAMING OC 24GB GDDR6 384-bit HDMIx2 DPx2,118261,,игровая,24000 МБ,GDDR6,384 бит,"выход DisplayPort x 2, выход HDMI x 2",,PCI Express 4.0,,8 pin + 8 pin,7680x4320,4,,,,2330 МГц,
"Видеокарта Gainward GeForce RTX 3080 Ti 12 ГБ (gainward-palit 3080 Ti 12 Gb XG OC), rev. 2.0 (LHR)",75900,Retail,игровая,12288 МБ,GDDR6X,384 бит,"выход DisplayPort x 3, выход HDMI",,PCI Express 4.0,350 Вт,8 pin + 8 pin,7680x4320,2,поддержка трассировки лучей,Low Hash Rate,19000 МГц,1665 МГц,
"Видеокарта ASUS Dual GeForce RTX 3050 8GB (DUAL-RTX3050-8G), Retail",27915,Retail,игровая,8192 МБ,GDDR6,128 бит,"выход DisplayPort x 3, выход HDMI",,PCI Express 4.0,,8 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP, поддержка трассировки лучей",необходимость дополнительного питания,,,
"Видеокарта AFOX GeForce GTX 750 Ti 4GB (AF750TI-4096D5H1-V2), Retail",10590,Retail,,4096 МБ,GDDR5,128 бит,"выход DVI, выход DisplayPort, выход HDMI",28 нм,PCI Express 3.0,,,2560x1600,3,поддержка HDCP,,5400 МГц,1020 МГц,
"Видеокарта AFOX GeForce GT 1030 2048Mb (AF1030-2048D5L5-V3), Retail",7490,Retail,игровая,2048 МБ,GDDR5,64 бит,"выход DisplayPort, выход HDMI",14 нм,PCI Express 3.0,,,3840x2160,2,,,6000 МГц,1227 МГц,
"Видеокарта EVGA GeForce RTX 2060 SC OC 70C Gaming 6GB (06G-P4-2062-KR), Retail",24800,Retail,игровая,6144 МБ,GDDR6,192 бит,"выход DVI, выход DisplayPort, выход HDMI",12 нм,PCI Express 3.0,160 Вт,8 pin,7680x4320,3,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",,14000 МГц,1365 МГц,
"Видеокарта GIGABYTE GeForce GT 630 810Mhz PCI-E 2.0 2048Mb 1600Mhz 128 bit DVI HDMI HDCP, Ресейл",6500,,,2048 МБ,GDDR3,128 бит,выход HDMI,40 нм,PCI Express 2.0,,,2560x1600,2,,,1600 МГц,810 МГц,
"Видеокарта Palit GeForce RTX 3080 GameRock 12GB (NED3080019KB-1020G), Retail",96060,Retail,игровая,12288 МБ,GDDR6X,320 бит,"выход DisplayPort x 3, выход HDMI",8 нм,PCI Express 4.0,350 Вт,8 pin+8 pin+8 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей","Low Hash Rate, необходимость дополнительного питания",19000 МГц,1710 МГц,
"Видеокарта Biostar Radeon RX 6700 XT OC 12 ГБ (VA67S6TML9), Retail",38166,Retail,игровая,12288 МБ,GDDR6,192 бит,"выход DisplayPort x 3, выход HDMI",7 нм,PCI Express 4.0,180 Вт,8 pin + 6 pin,7680x4320,4,поддержка трассировки лучей,OC,16000 МГц,2330 МГц,
