Видеокарта,Цена,комплектация,область применения,объем видеопамяти,тип памяти,шина обмена с памятью,разъемы и интерфейсы,техпроцесс,тип подключения,TDP,разъем дополнительного питания,максимальное разрешение,количество поддерживаемых мониторов,поддержка технологий,особенности,частота памяти,частота видеопроцессора,SLI/NVLink/CrossFire
"Видеокарта PowerColor Radeon RX 6500 XT ITX 4GB (AXRX 6500 XT 4GBD6-DH), Retail",20085,Retail,игровая,4096 МБ,GDDR6,64 бит,"выход DisplayPort, выход HDMI",6 нм,PCI Express 4.0,107 Вт,6 pin,7680x4320,2,"поддержка HDCP, поддержка Vulkan",необходимость дополнительного питания,18000 МГц,2310 МГц,
"Видеокарта GIGABYTE GeForce RTX 3070 Gaming OC 8G (GV-N3070GAMING OC-8GD) (rev. 1.0), Retail",50256,Retail,игровая,8192 МБ,GDDR6,256 бит,"выход DisplayPort x 2, выход HDMI, выход HDMI x 2, интерфейс USB Type-C",8 нм,PCI Express 4.0,220 Вт,8 pin + 6 pin,7680x4320,4,,,14000 МГц,1815 МГц,
Видеокарта ASRock RX7900XT Phantom Gaming 20G OC,105559,,игровая,20000 МБ,GDDR6,320 бит,"выход DisplayPort x 3, выход HDMI",,PCI Express 4.0,,,7680x4320,4,,,,2075 МГц,
"Видеокарта ASUS Dual GeForce GTX 1650 OC 4GB (DUAL-GTX1650-O4G), Retail",17500,Retail,игровая,4096 МБ,GDDR5,128 бит,"выход DVI, выход DisplayPort, выход HDMI",12 нм,PCI Express 3.0,,,7680x4320,3,"поддержка CUDA, поддержка HDCP",,8002 МГц,1485 МГц,
Видеокарта KFA2 GeForce RTX 4080 SG PCI-E 16GB GDDR6X 256-bit w/HDMI/DP/DP/DP/CoolingFan 48NZM6MD6LSK,110085,,игровая,16384 МБ,GDDR6X,256 бит,"выход DisplayPort x 3, выход HDMI",,PCI Express 4.0,,16 pin,7680x4320,4,поддержка CUDA,,22400 МГц,2580 МГц,
"Видеокарта PNY Quadro T400 2GB (VCNT400-PB), Retail",17529,Retail,профессиональная,2048 МБ,GDDR6,64 бит,выход Mini DisplayPort x 3,14 нм,PCI Express 3.0,30 Вт,,7680x4320,3,"поддержка CUDA, поддержка HDCP",низкопрофильная карта (Low Profile),4000 МГц,1070 МГц,
"Видеокарта AFOX GeForce GT 610 1 GB (AF610-1024D3L7-V6), Retail",3560,Retail,,1024 МБ,GDDR3,64 бит,"выход DVI, выход HDMI, выход VGA",40 нм,PCI Express 3.0,29 Вт,,2560x1600,3,"поддержка CUDA, поддержка HDCP",низкопрофильная карта (Low Profile),1333 МГц,810 МГц,
"Видеокарта AFOX GeForce GTX 750Ti 4GBb (AF750TI-4096D5H1), Retail",13249,Retail,,4096 МБ,GDDR5,128 бит,"выход DVI, выход HDMI, выход VGA",28 нм,PCI Express 3.0,60 Вт,6 pin,4096x2160,3,,,5400 МГц,1020 МГц,
"Видеокарта GIGABYTE GeForce RTX 4090 AERO OC 24G (GV-N4090AERO OC-24GD), Retail",166597,Retail,игровая,24576 МБ,GDDR6X,384 бит,"выход DisplayPort x 3, выход HDMI",4 нм,PCI Express 4.0,450 Вт,16 pin,7680x4320,4,"поддержка CUDA, поддержка Vulkan",необходимость дополнительного питания,21000 МГц,2535 МГц,
"Видеокарта ASUS ROG Strix GeForce RTX 3080 V2 OC Edition 10GB (ROG-STRIX-RTX3080-O10G-V2-GAMING), Retail",110000,Retail,игровая,10240 МБ,GDDR6X,320 бит,"выход DisplayPort x 3, выход HDMI x 2, интерфейс USB Type-C",8 нм,PCI Express 4.0,320 Вт,8 pin+8 pin+8 pin,7680x4320,4,,,19000 МГц,1905 МГц,
Видеокарта Sparkle GTX 260,3900,,,,GDDR3,448 бит,,,,,,,,,,,,
"Видеокарта AFOX Radeon RX 560 4GB (AFRX560-4096D5H4), Retail",9500,Retail,игровая,4096 МБ,GDDR5,128 бит,"выход DVI, выход DisplayPort, выход HDMI",14 нм,PCI Express 3.0,75 Вт,,7680x4320,3,,,7000 МГц,1275 МГц,
Видеокарта MSI Intel Arc A310 LP 2X 4GB OEM,12123,OEM,игровая,4096 МБ,GDDR6,64 бит,"выход DisplayPort, выход HDMI",,PCI Express 4.0,75 Вт,,7680x4320,2,поддержка HDCP,низкопрофильная карта (Low Profile),15500 МГц,2000 МГц,
Zotac Видеокарта Zotac GeForce GTX 750 2GB GDDR5 (ZT-70704-10M),6000,,,2048 МБ,GDDR5,128 бит,выход DVI x 2,28 нм,,55 Вт,,4096x2160,2,,,5400 МГц,1033 МГц,
Видеокарта Radeon X600 Pro DDR 128MB PCI-E,1625,,,128 МБ,,128 бит,выход DVI,,,,,,,,,,,
Видеокарта AFOX Pcie16 GT730 1GB DDR3 AF730-1024D3L3-V3,4990,,,1024 МБ,DDR3,128 бит,,,,,,2560x1600,,,,,1336 МГц,
"Видеокарта Palit GeForce RTX 3060 StormX 12G (NE63060019K9-190AF), Retail",42786,Retail,игровая,12288 МБ,GDDR6,192 бит,"выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",8 нм,PCI Express 4.0,170 Вт,8 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",необходимость дополнительного питания,15000 МГц,1320 МГц,
"Видеокарта NVIDIA T1000 8GB, Retail",40400,Retail,,8192 МБ,GDDR6,128 бит,выход Mini DisplayPort x 4,,PCI Express 3.0,,,7680x4320,4,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",,,,
Видеокарта 12 Гб Sapphire Radeon RX 6700 XT Gaming OC Pulse (11306-05-20G),49581,,игровая,12288 МБ,GDDR6,192 бит,"выход DisplayPort, выход DisplayPort x 3",7 нм,PCI Express 4.0,230 Вт,8 pin,7680x4320,4,,,16000 МГц,2560 МГц,
Видеокарта INNO3D RTX3060 TWIN X2 8GB GDDR6 128-bit,36621,Retail,игровая,8192 МБ,GDDR6,128 бит,"выход DisplayPort x 3, выход HDMI",8 нм,PCI Express 4.0,,8 pin,7680x4320,4,поддержка CUDA,необходимость дополнительного питания,15000 МГц,1320 МГц,
Видеокарта новая Geforce RTX 2060 SUPER 8 ГБ iCraft,28000,,игровая,8000 МБ,GDDR6,256 бит,"выход DVI, выход HDMI, DP",12 нм,,,,,3,"поддержка CUDA, поддержка трассировки лучей",,1750 МГц,1460 МГц,
Видеокарта AFOX Radeon R9 370 4 ГБ (AFR9370-4096D5H9),10750,Retail,игровая,4096 МБ,GDDR5,256 бит,"выход DVI, выход DisplayPort, выход HDMI",28 нм,PCI Express 3.0,,6 pin,3840x2160,3,поддержка HDCP,,5400 МГц,860 МГц,
"Видеокарта ASUS Cerberus GeForce GTX 1050 Ti Advanced 4GB (CERBERUS-GTX1050TI-A4G), Retail",18950,Retail,игровая,4096 МБ,GDDR5,128 бит,"выход DVI, выход DisplayPort, выход HDMI",14 нм,PCI Express 3.0,,,7680x4320,3,,,7008 МГц,1303 МГц,
"Видеокарта NVIDIA RTX A4000 16GB, OEM",92000,OEM,профессиональная,16384 МБ,GDDR6,256 бит,выход DisplayPort x 4,,PCI Express 4.0,140 Вт,6 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",необходимость дополнительного питания,,,
"Видеокарта INNO3D GeForce RTX 3050 TWIN X2 8GB (N30502-08D6-1190VA42), Retail",26724,Retail,игровая,8192 МБ,GDDR6,128 бит,"выход DisplayPort x 3, выход HDMI",8 нм,PCI Express 4.0,130 Вт,8 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",необходимость дополнительного питания,14000 МГц,1777 МГц,
Видеокарта USB Espada H000USB,4751,,,,,,,,,,,,,,внешняя видеокарта,,,
"Видеокарта GIGABYTE AORUS GeForce RTX 3080 MASTER 10G (GV-N3080AORUS M-10GD) (rev. 2.0), Retail",100090,Retail,игровая,10240 МБ,GDDR6X,320 бит,"выход DisplayPort x 3, выход HDMI x 3",8 нм,PCI Express 4.0,,8 pin+8 pin+8 pin,7680x4320,4,"поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",необходимость дополнительного питания,19000 МГц,1845 МГц,
Б/у AGP 128Mb ATI Radeon 9250 Sapphire SKU#11046-60,988₽,,,128 МБ,,,,,,,,,,,,,,
Видеокарта GIGABYTE AORUS GeForce RTX 3080 XTREME WATERFORCE WB 10G (REV 2.0),90000,Retail,игровая,10240 МБ,GDDR6X,320 бит,выход HDMI,8 нм,PCI Express 4.0,,,,,,,,,
"Видеокарта Matrox M9125 512MB (M9125-E512F), Retail",35500,Retail,игровая,512 МБ,GDDR2,64 бит,"выход DVI, выход DVI x 2, PCI",,,,,2560x1600,2,,,,,
Видеокарта Palit GeForce RTX 3070 Gaming Pro OC V1 8Gb LHR (NE63070S19P2-1041A),68480,,,8192 МБ,,,,,,,,7680x4320,,,,,,
Видеокарта ASUS nVidia GeForce RTX 3070 Dual V2 LHR 8192Mb DUAL-RTX3070-8G-V2,53300,,игровая,8192 МБ,GDDR6,256 бит,"выход DisplayPort x 3, выход HDMI",8 нм,PCI Express 4.0,,8 pin + 8 pin,7680x4320,,поддержка трассировки лучей,,14000 МГц,1755 МГц,
Аксессуар для видеокарты LOW PROFILE BRACKET A2000 12GB NVIDIA,2323,,,12288 МБ,,,,,,,,,,,,,,
"Видеокарта Colorful GeForce RTX 4090 NB EX-V 24GB, Retail",170940,Retail,игровая,24576 МБ,GDDR6X,384 бит,"выход DisplayPort x 3, выход HDMI",4 нм,PCI Express 4.0,480 Вт,16 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP, поддержка трассировки лучей",необходимость дополнительного питания,21000 МГц,2565 МГц,
Видеокарта HD 5570 1024mb,3250,,,,,,,,,,,,,,,,,
"Видеокарта ASUS Dual Radeon RX 6600 XT OC Edition 8Gb, DUAL-RX6600XT-O8G, Retail",34700,Retail,игровая,8192 МБ,GDDR6,128 бит,"выход DisplayPort, выход HDMI",7 нм,PCI Express 4.0,160 Вт,8 pin,7680x4320,4,"поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",необходимость дополнительного питания,16000 МГц,2000 МГц,"поддержка NVLink, поддержка SLI/CrossFire"
Видеокарта GAINWARD GeForce RTX 3090 24576Mb PHOENIX GS (NED3090019SB-132BX),107057,,игровая,24576 МБ,GDDR6X,384 бит,,,PCI Express 4.0,,,,,поддержка трассировки лучей,,19500 МГц,,
Видеокарта MSI GeForce RTX 2060 VENTUS OC RU 6Gb,31300,,игровая,6144 МБ,GDDR6,192 бит,"выход DisplayPort x 3, выход HDMI",12 нм,PCI Express 3.0,,8 pin,7680x4320,,,,,1365 МГц,
Видеокарта Sapphire AMD Radeon RX 7900 XTX 24Gb (21322-01-20G),123744,,игровая,24000 МБ,GDDR6,384 бит,"выход DisplayPort x 2, выход HDMI",,PCI Express 4.0,335 Вт,8 pin + 8 pin,7680x4320,4,,,,2500 МГц,
Видеокарта PowerColor Radeon HD 4730 700Mhz PCI-E 2.0 512Mb 3600Mhz,2375,,,512 МБ,GDDR5,,,55 нм,,,,2560x1600,,,,,,
"Видеокарта PowerColor Radeon HD 5750 700Mhz PCI-E 2.1 1024Mb 4000Mhz 128 bit DVI HDMI HDCP, Ресейл",3500,,,1024 МБ,GDDR5,,выход HDMI,,,,,,,,,4000 МГц,700 МГц,
Видеокарта Ninja(Sinotex) RTX3070 (5888SP) 8GB GDDR6 256BIT (HDMI/3xDP),48790,,игровая,8192 МБ,GDDR6,256 бит,"выход DisplayPort x 3, выход HDMI",8 нм,PCI Express 4.0,,,7680x4320,4,поддержка CUDA,,1750 МГц,1500 МГц,
"Видеокарта ZOTAC GAMING GeForce RTX 3080 Ti AMP Holo (ZT-A30810F-10P), Retail",109990,Retail,игровая,12288 МБ,GDDR6X,384 бит,"выход DisplayPort x 3, выход HDMI",8 нм,PCI Express 4.0,350 Вт,8 pin + 8 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",необходимость дополнительного питания,19000 МГц,1710 МГц,
Шторка для веб-камеры / Защитная шторка для камеры ноутбука / Накладка на камеру телефона / Защита для планшета 2 шт. Белая,219₽,,,,,,,,,,,,,,,,,
Видеокарта ASUS GeForce 210 EN210 SILENT/DI/1GD3 /V2 (LP),2200,,,1024 МБ,GDDR3,,,,,,,2312x1080,,,,,589 МГц,
Видеокарта MSI PCI-E RTX 2060 VENTUS OC RU NV RTX2060 6144Mb 192 GDDR6 1665/14000/HDMIx1/DPx3/HDCP R,63720,,игровая,6144 МБ,GDDR6,192 бит,"выход DisplayPort x 3, выход HDMI",12 нм,PCI Express 3.0,,,7680x4320,,,,14000 МГц,1710 МГц,
Видеокарта 8.0 Гб HIS Radeon RX 580 IceQ X2 [HS-580R8LC],10950,,игровая,8192 МБ,GDDR5,256 бит,"выход DVI, выход DisplayPort x 3, выход HDMI",14 нм,PCI Express 3.0,,8 pin,7680x4320,4,,,1350 МГц,1257 МГц,
Видеокарта PCI-e nVidia GeForce 8600GT 512Mb GDDR3 128bit Asus Silent,1550,,,512 МБ,GDDR3,128 бит,,,PCI Express 2.0,,,,2,,,,,
Видеокарта PCI-E Sinotex GeForce GT 210 NK21NP013F 1GB GDDR3 64bit 40nm 700/1333MHz D-Sub/HDMI/DVI-D RTL,2885,,,1024 МБ,GDDR3,,выход HDMI,,,,,,,,,,,
"Видеокарта Sinotex Ninja Radeon R7 250 2GB (AKR725025F), Retail",7202,Retail,,2048 МБ,GDDR5,128 бит,"выход DVI, выход HDMI, выход VGA",28 нм,PCI Express 3.0,,,4096x2160,3,"поддержка HDCP, поддержка Vulkan",,,,
Плата видеокарты PowerColor Radeon HD 3870 512MB,250₽,,,512 МБ,,,,,,,,,,,,,,
ASUS Видеокарта/ DUAL-RTX3060-O8G-WHITE,33700,Retail,игровая,8192 МБ,GDDR6,192 бит,"выход DisplayPort x 3, выход HDMI",8 нм,PCI Express 4.0,,8 pin,7680x4320,4,,,15000 МГц,1867 МГц,
Видеокарта HIS Radeon HD 5450 650Mhz PCI-E 2.1 512Mb 1000Mhz 64 bit DVI HDMI HDCP,1404,,,512 МБ,GDDR3,64 бит,выход HDMI,40 нм,PCI Express 2.1,,,2560x1600,2,,,1000 МГц,650 МГц,поддержка SLI/CrossFire
Видеокарта GeForce GTX 1060 3GB БУ,14990,,,,GDDR5,192 бит,,,,,,,,,,,,
Видеокарта HIS Radeon HD 5450 650Mhz PCI-E 2.1 512Mb 1000Mhz 64 bit DVI HDMI HDCP,1404,,,512 МБ,GDDR3,64 бит,выход HDMI,40 нм,PCI Express 2.1,,,2560x1600,2,,,1000 МГц,650 МГц,поддержка SLI/CrossFire
Видеокарта GeForce GTX 1060 3GB БУ,14990,,,,GDDR5,192 бит,,,,,,,,,,,,
"Видеокарта AFOX GeForce RTX 3070 8GB (AF3070-8192D6H2), Retail",50281,Retail,игровая,8192 МБ,GDDR6,256 бит,"выход DisplayPort x 3, выход HDMI",8 нм,PCI Express 4.0,,12 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP",,,1500 МГц,
Видеокарта Palit RTX4070Ti GAMEROCK 12GB,93610,,игровая,12288 МБ,GDDR6X,192 бит,"выход DisplayPort x 3, выход HDMI",4 нм,PCI Express 4.0,,16 pin,7680x4320,3,поддержка CUDA,,21000 МГц,2610 МГц,
"Видеокарта GIGABYTE GeForce RTX 4090 Gaming 24G (GV-N4090GAMING-24GD), Retail",166700,Retail,игровая,24576 МБ,GDDR6X,384 бит,"выход DisplayPort x 3, выход HDMI",4 нм,PCI Express 4.0,,16 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",необходимость дополнительного питания,21000 МГц,2520 МГц,
"Видеокарта Sapphire PULSE Radeon RX 5700 XT BE 8GB (11293-09-20G), Retail",41900,Retail,игровая,8192 МБ,GDDR6,256 бит,"выход DisplayPort x 3, выход HDMI",7 нм,PCI Express 4.0,241 Вт,8 pin + 6 pin,5120x2880,4,,,14000 МГц,1670 МГц,поддержка SLI/CrossFire
"Видеокарта GIGABYTE GeForce RTX 3060 Ti EAGLE 8G (GV-N306TEAGLE-8GD), Retail",42279,Retail,игровая,8192 МБ,GDDR6,256 бит,"выход DisplayPort x 2, выход HDMI, выход HDMI x 2",8 нм,PCI Express 4.0,,8 pin,7680x4320,4,,,14000 МГц,1665 МГц,
"Видеокарта MSI GeForce RTX 4070 Ti GAMING TRIO 12G, Retail",98700,Retail,игровая,12288 МБ,GDDR6X,192 бит,"выход DisplayPort x 3, выход HDMI",5 нм,PCI Express 4.0,285 Вт,16 pin,7680x4320,4,"поддержка CUDA, поддержка трассировки лучей",,21000 МГц,2310 МГц,
"Видеокарта HP Quadro P400 2GB (1ME43AA), Retail",17000,Retail,профессиональная,2048 МБ,GDDR5,64 бит,"выход DisplayPort, выход DisplayPort x 3, выход Mini DisplayPort x 3",14 нм,PCI Express 3.0,30 Вт,,5120x2880,4,,,,,
Б/у Видеокарта AGP 128Mb FX5200 MSI MS-8936,988₽,,,128 МБ,,,,,,,,,,,,,,
Видеокарта Gigabyte GeForce RTX 3060 EAGLE OC 12G RTL,43446,Retail,игровая,12000 МБ,GDDR6,192 бит,"выход DisplayPort, выход HDMI, PCI-E",8 нм,PCI Express 4.0,550 Вт,8 pin,7680x4320,4,NVIDIA CUDA,необходимость дополнительного питания,15000 МГц,1807 МГц,
Видеокарта 8 Гб Asus GeForce RTX 3070 Turbo V2 LHR (TURBO-RTX3070-8G-V2) oem,72408,,игровая,8192 МБ,GDDR6,256 бит,выход HDMI,8 нм,PCI Express 4.0,,8 pin + 8 pin,7680x4320,4,поддержка трассировки лучей,,,,
"Видеокарта ZOTAC RTX 4070 Ti AMP EXTREME AIRO 12GB (ZT-D40710B-10P), Retail",87499,Retail,игровая,12288 МБ,GDDR6X,192 бит,"выход DisplayPort x 3, выход HDMI",4 нм,PCI Express 4.0,285 Вт,16 pin,7680x4320,4,"поддержка CUDA, поддержка HDCP",необходимость дополнительного питания,21000 МГц,2310 МГц,
Видеокарта Palit GeForce GT 710 PA-GT710-2GD3H PCI-E 2048Mb DDR3 64 Bit OEM (NEAT7100HD46-2080H),5680,,игровая,2048 МБ,GDDR3,64 бит,"выход HDMI, выход VGA",28 нм,PCI Express 2.0,,,2560x1600,,,,1600 МГц,954 МГц,
"Неисправная видеокарта для Asus G750GX, G750JX_MXM_N14E-GS Rev:2.1, N14E-GS-A1 Nvidis GeForce GTX770 3Gb GDDR5 (с разбора)",13628,,,3072 МБ,GDDR5,,,,,,,,,,,,,
Видеокарта Asus PCI-E 4.0 ROG-STRIX-RX6650XT-O8G-GAMING AMD Radeon RX 6650XT 8192Mb 128 GDDR6 2382/16000 HDMIx1 DPx3 HDCP Ret,41593,,,8192 МБ,GDDR6,128 бит,выход HDMI,,PCI Express 4.0,,,7680x4320,,,,,,
"Видеокарта GIGABYTE GeForce RTX 3060 Ti GAMING OC 8G (GV-N306TGAMING OC-8GD) (rev. 1.0), Retail",69990,Retail,игровая,8192 МБ,GDDR6,256 бит,"выход DisplayPort x 2, выход HDMI x 2",8 нм,PCI Express 4.0,200 Вт,8 pin,7680x4320,4,,,14000 МГц,1740 МГц,
"Внешняя видеокарта MSI Radeon RX 6700 XT GAMING X 12GB, Retail",43990,Retail,игровая,12288 МБ,GDDR6,192 бит,"выход DisplayPort x 3, выход HDMI, выход HDMI x 4, интерфейс USB Type-C",7 нм,PCI Express 4.0,230 Вт,8 pin + 8 pin,7680x4320,4,"поддержка HDCP, поддержка Vulkan",внешняя видеокарта,16000 МГц,2321 МГц,поддержка SLI/CrossFire
Видеокарта Colorful RTX3050 NB DUO V2-V 8GB GDDR6 128bit HDMI+DP+DL-DVI,29600,,игровая,8192 МБ,GDDR6,128 бит,"выход DVI, выход DisplayPort, выход HDMI",,PCI Express 4.0,,6 pin,7680x4320,3,поддержка CUDA,,1552 МГц,1552 МГц,
"Видеокарта GIGABYTE Radeon RX 6900 XT 16GB (GV-R69XT-16GC-B), Retail",87099,Retail,игровая,16384 МБ,GDDR6,256 бит,"выход DisplayPort x 2, выход HDMI, интерфейс USB Type-C",7 нм,PCI Express 4.0,,8 pin + 8 pin,7680x4320,4,"поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",необходимость дополнительного питания,16000 МГц,2015 МГц,
Видеокарта MSI RTX4090 GAMING X TRIO 24GB,255315,Retail,игровая,24576 МБ,GDDR6X,384 бит,,4 нм,PCI Express 4.0,,16 pin,7680x4320,4,,,,,
Видеокарта COLORFUL GeForce GT 1030 4096Mb GT1030 4G-V,8175,,игровая,4096 МБ,GDDR4,64 бит,"выход HDMI, выход VGA",16 нм,PCI Express 3.0,,,3840x2160,2,,,1050 МГц,1152 МГц,
"Видеокарта GIGABYTE GeForce GTX 1650 (GV-N1650D5-4GL), Retail",24190,Retail,,4096 МБ,GDDR5,128 бит,"выход DVI, выход DisplayPort, выход HDMI",12 нм,PCI Express 3.0,,,7680x4320,3,,,8002 МГц,1665 МГц,
"Видеокарта GIGABYTE GeForce GTX 1650 (GV-N1650D5-4GL), Retail",24190,Retail,,4096 МБ,GDDR5,128 бит,"выход DVI, выход DisplayPort, выход HDMI",12 нм,PCI Express 3.0,,,7680x4320,3,,,8002 МГц,1665 МГц,
Видеокарта ASUS Radeon RX 560 4GB,14429,,игровая,4096 МБ,GDDR5,,выход DisplayPort x 2,14 нм,PCI-E 16x,,,,3,,,7000 МГц,1149 МГц,поддержка SLI/CrossFire
"Видеокарта Palit GeForce RTX 3090 GamingPro 24GB (NED3090019SB-132BA), Retail",74990,Retail,игровая,24576 МБ,GDDR6X,384 бит,"выход DisplayPort x 3, выход HDMI",8 нм,PCI Express 4.0,350 Вт,8 pin + 8 pin,7680x4320,4,,,19500 МГц,1395 МГц,поддержка NVLink
Видеокарта MSI GeForce GT 620 1 Гб DDR3,2900,,,1024 МБ,GDDR3,64 бит,выход VGA,,PCI Express 2.0,,,,,,,,,
Графический процессор NVIDIA TESLA T4 900-2G183-0000-000,194640,,профессиональная,16384 МБ,GDDR6,,,,,,,,,,,,,
Видеокарта HUAWEI ATLAS 300 32GB HH/HL (02312JPM),90799,,,32768 МБ,,,,,PCI Express 3.0,,,,,,,,,
"Видеокарта Palit GeForce GTX 1660 SUPER GP OC 6GB (NE6166SS18J9-1160A), Retail",27035,Retail,игровая,6144 МБ,GDDR6,192 бит,"выход DVI, выход DisplayPort, выход HDMI",12 нм,PCI Express 3.0,125 Вт,8 pin,7680x4320,3,"поддержка CUDA, поддержка Vulkan",необходимость дополнительного питания,14000 МГц,1530 МГц,
Видеокарта Radeon MSI HD5500 1GB,2100,,,1024 МБ,GDDR3,128 бит,,,PCI Express 2.1,,,,3,,,,,
Видеокарта ASUS ROG Strix GeForce RTX 4090 OC 24G,239990,,,24576 МБ,GDDR6X,384 бит,"выход DisplayPort x 3, выход HDMI",,,,16 pin,7680x4320,,,,2640 МГц,2235 МГц,
Видеокарта ASUS ROG Strix GeForce RTX 4090 OC 24G,239990,,,24576 МБ,GDDR6X,384 бит,"выход DisplayPort x 3, выход HDMI",,,,16 pin,7680x4320,,,,2640 МГц,2235 МГц,
Видеокарта Sapphire Pulse RX 6700XT Gaming Pulse,33800,,,12288 МБ,,,выход HDMI,,PCI Express 4.0,,,,,,,,,
Видеокарта MSI GeForce RTX 4070 VENTUS 2X OC 12G,77190,,,12288 МБ,GDDR6X,192 бит,"выход DisplayPort x 3, выход HDMI",,,,8 pin,,,,,,,
Видеокарта 12Gb PCI-E GDDR6 RADEON RX 6700XT XFX Speedster MERC319 HDMI+3xDP,33000,,,12288 МБ,GDDR6,,выход HDMI,,,,,,,,,,,
Видеокарта ASROCK INTEL Arc A750 CHALLENGER D OC 8G,30770,,,8192 МБ,GDDR6,256 бит,"выход DisplayPort x 2, выход HDMI",,,,8 pin + 8 pin,7680x4320,,,,16000 МГц,2200 МГц,
Видеокарта MSI GeForce RTX 4070 VENTUS 2X OC 12G,77190,,,12288 МБ,GDDR6X,192 бит,"выход DisplayPort x 3, выход HDMI",,,,8 pin,,,,,,,
Видеокарта OCPC GeForce GTX 1660 DUAL 6G,20430,,,6144 МБ,GDDR5,192 бит,"выход DVI, выход HDMI, выход VGA",,,,,,,,,,1530 МГц,
Видеокарта ASROCK INTEL Arc A750 CHALLENGER D OC 8G,30770,,,8192 МБ,GDDR6,256 бит,"выход DisplayPort x 2, выход HDMI",,,,8 pin + 8 pin,7680x4320,,,,16000 МГц,2200 МГц,
Видеокарта GIGABYTE GeForce GTX 1660 SUPER OC (GV-N166SOC-6GD Rev 1.0),29590,,,6144 МБ,GDDR6,192 бит,,,PCI Express 3.0,150 Вт,8 pin,7680x4320,4,,,,1530 МГц,
Видеокарта MSI GeForce RTX 4070 GAMING X TRIO 12G,82690,,,12288 МБ,GDDR6X,192 бит,"выход DisplayPort x 3, выход HDMI",,,,16 pin,7680x4320,,,,,,
Видеокарта OCPC GeForce GTX 1660 DUAL 6G,20430,,,6144 МБ,GDDR5,192 бит,"выход DVI, выход HDMI, выход VGA",,,,,,,,,,1530 МГц,
Видеокарта GIGABYTE GeForce RTX 4090 XTREME WATERFORCE 24G,205890,,,24576 МБ,GDDR6X,384 бит,"выход DisplayPort x 3, выход HDMI",,,,16 pin,7680x4320,,,,21000 МГц,2565 МГц,
"Видеокарта Asus ROG-STRIX-RTX4090-O24G-GAMING /RTX4090,HDMI*2,DP*3,24G,D6X",222222,,,24576 МБ,GDDR6X,384 бит,выход HDMI,4 нм,PCI Express 4.0,,,7680x4320,4,,,2510 МГц,2210 МГц,
Видеокарта MSI GeForce RTX 4070 GAMING X TRIO 12G,82690,,,12288 МБ,GDDR6X,192 бит,"выход DisplayPort x 3, выход HDMI",,,,16 pin,7680x4320,,,,,,
"Видеокарта GIGABYTE Intel Arc A310, GV-IA310WF2-4GD, 4Gb DDR6, 64bit, 2xHDMI/2xDP, 2xFan, RTL",11295,,,4096 МБ,GDDR6,64 бит,,,,,,,,,,,,
Видеокарта Gigabyte PCI-E 4.0 GV-N306TXEAGLE OC-8GD NV RTX3060Ti 8192Mb 256 GDDR6 1695/14000/HDMIx2/,59571,,,8192 МБ,GDDR6,,,,PCI Express 4.0,,,,,,,,,
Видеокарта Asus DUAL DUAL-RTX3060-O8G,28960,,,8192 МБ,,,выход HDMI,,PCI Express 4.0,,,,,,,,,
"Видеокарта ASUS GeForce GT 730 2GB (GT730-2GD3-BRK-EVO), Retail",7800,,,2048 МБ,DDR3,,выход HDMI,,,,,,,,,,,
"Видеокарта GIGABYTE Radeon RX 6800 XT GAMING OC 16GB (GV-R68XTGAMING OC-16GD), Retail",60627,Retail,игровая,16384 МБ,GDDR6,256 бит,"выход DisplayPort x 2, выход HDMI, выход HDMI x 2",7 нм,PCI Express 4.0,,8 pin + 8 pin,7680x4320,4,поддержка трассировки лучей,,16000 МГц,2285 МГц,
"Видеокарта GIGABYTE GeForce GTX 1650 D6 4G (rev. 2.0) (GV-N1656D6-4GD), Retail",16490,Retail,,4096 МБ,GDDR6,128 бит,"выход DVI, выход DisplayPort, выход HDMI",12 нм,PCI Express 3.0,,6 pin,7680x4320,3,"поддержка CUDA, поддержка Vulkan",необходимость дополнительного питания,12000 МГц,1590 МГц,
Видеокарта ASRock RX7900XTX Taichi 24G OC,128205,,игровая,24000 МБ,GDDR6,384 бит,"выход DisplayPort x 3, выход HDMI",,PCI Express 4.0,,,7680x4320,4,,,,2510 МГц,
Видеокарта ZOTAC GeForce RTX 3070Ti AMP EXTREME HOLO 8GB (ZT-A30710B-10P),64290,,игровая,8192 МБ,GDDR6X,256 бит,выход HDMI,,PCI Express 4.0,,8 pin + 8 pin,7680x4320,4,,,,,
