Видеокарта,Цена,комплектация,область применения,особенности,объем видеопамяти,тип памяти,частота памяти,шина обмена с памятью,частота видеопроцессора,разъемы и интерфейсы,тип подключения,поддержка технологий,разъем дополнительного питания,максимальное разрешение,количество поддерживаемых мониторов,техпроцесс
"Видеокарта GIGABYTE Arc A380 GAMING OC 6GB, GV-IA380GAMING OC-6GD, Retail",15665,Retail,игровая,необходимость дополнительного питания,6144.0,GDDR6,15500.0,96.0,2000.0,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,"поддержка Vulkan, поддержка трассировки лучей",6 pin,7680x4320,4,6.0
Sapphire Pulse 6600 OEM 8GB GDDR6 HDMI/DP,19500,OEM,игровая,необходимость дополнительного питания,8192.0,GDDR6,1750.0,128.0,2044.0,"выход DisplayPort, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,2,7.0
"Видеокарта Peladn AMD Radeon RX 580 8G (RX580, GDDR5)",9405,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR5,8000.0,256.0,1244.0,"выход DisplayPort x 3, выход HDMI",PCI Express 3.0,"поддержка HDCP, поддержка Vulkan",6 pin,4096x2160,3,14.0
"Видеокарта Sinotex Ninja Radeon R9 370 4GB (AHR937045F), Retail",9629,Retail,игровая,нет,4096.0,GDDR5,5400.0,256.0,860.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,поддержка HDCP,6 pin,3840x2160,3,28.0
"Видеокарта GIGABYTE GeForce GT 1030 Low Profile 2G (GV-N1030D5-2GL), Retail",15113,Retail,игровая,низкопрофильная карта (Low Profile),2048.0,GDDR5,6008.0,64.0,1252.0,"выход DVI, выход HDMI",PCI Express 3.0,нет,8 pin,4096x2160,2,14.0
"Видеокарта AFOX GeForce GT 610 2 GB (AF610-2048D3L7-V5), Retail",3190,Retail,игровая,нет,2048.0,GDDR3,1330.0,64.0,810.0,"выход DVI, выход HDMI, выход VGA, PCI-E",PCI Express 2.0,"поддержка CUDA, поддержка HDCP",8 pin,2560x1600,2,40.0
"Видеокарта MSI GeForce GTX 1050 2G OC, Retail",10500,Retail,игровая,нет,2048.0,GDDR5,7008.0,128.0,1404.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,3,14.0
"Видеокарта MSI GeForce RTX 3050 VENTUS 2X 8G OC, Retail",27390,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR6,14000.0,128.0,1807.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8.0
"Видеокарта Palit GeForce GTX 1070 1556MHz PCI-E 3.0 8192MB 8000MHz 256 bit DVI HDMI HDCP, Retail",15490,Retail,игровая,нет,8192.0,GDDR5,8000.0,256.0,1556.0,"выход DVI, выход DisplayPort x 3, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,4,16.0
"Видеокарта Sinotex Ninja GeForce GT 610 2GB (NK61NP023F), Retail",3454,Retail,игровая,низкопрофильная карта (Low Profile),2048.0,GDDR3,1333.0,64.0,810.0,"выход DVI, выход HDMI, выход VGA",PCI Express 3.0,нет,8 pin,2560x1600,2,40.0
"Видеокарта ASUS GeForce GTX 1080 1632MHz PCI-E 3.0 8192MB 10010MHz 256 bit DVI 2xHDMI HDCP, Retail",17900,Retail,игровая,нет,8192.0,GDDR5X,10010.0,256.0,1632.0,"выход DVI, выход DisplayPort x 2, выход HDMI x 2",PCI Express 3.0,нет,8 pin + 6 pin,7680x4320,4,16.0
"Видеокарта KFA2 GeForce RTX 3060 EX (1-Click OC) 12 GB (36NOL7MD2NEK), Retail",34840,Retail,игровая,нет,12288.0,GDDR6,16000.0,192.0,1807.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8.0
"Видеокарта GIGABYTE AORUS Radeon RX 580 (GV-RX580AORUS-8GD), Retail",12999,Retail,игровая,нет,8192.0,GDDR5,8000.0,256.0,1365.0,"выход DVI, выход DisplayPort x 3, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,5,14.0
"Видеокарта ASUS ROG Strix Radeon RX570 OC 4GB (ROG-STRIX-RX570-O4G-GAMING), Retail",7190,Retail,игровая,нет,4096.0,GDDR5,7000.0,256.0,1300.0,"выход DVI x 2, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,4,14.0
"Видеокарта MSI GeForce RTX 3060 Ti GAMING X 8G LHR, Retail",43500,Retail,игровая,нет,8192.0,GDDR6,14000.0,256.0,1770.0,"выход DisplayPort, выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,нет,8 pin + 6 pin,7680x4320,4,8.0
"Видеокарта AFOX GeForce GT 210 1GB (AF210-1024D2LG2), Retail",2390,Retail,игровая,нет,1024.0,GDDR2,400.0,64.0,459.0,"выход DVI, выход HDMI, выход VGA, PCI-E",PCI Express 2.0,поддержка CUDA,8 pin,2560x1600,2,40.0
"Видеокарта Palit GeForce RTX 2060 GamingPro 6GB (NE62060018J9-1062A), Retail",19590,Retail,игровая,нет,6144.0,GDDR6,14000.0,192.0,1365.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,3,12.0
"Видеокарта MSI GeForce GTX 1660 SUPER Gaming X 6GB, Retail",23180,Retail,игровая,необходимость дополнительного питания,6144.0,GDDR6,14000.0,192.0,1830.0,"выход DisplayPort x 3, выход HDMI",PCI Express 3.0,поддержка CUDA,8 pin,7680x4320,4,12.0
"Видеокарта MSI GeForce RTX 3070 VENTUS 2X 8G OC LHR, Retail",35990,Retail,игровая,нет,8192.0,GDDR6,14000.0,256.0,1500.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP",8 pin + 8 pin,7680x4320,4,8.0
Видеокарта Palit RTX4070Ti GAMINGPRO 12GB GDDR6X 192bit 3-DP HDMI RTL,92796,Retail,игровая,нет,12000.0,GDDR6X,21000.0,192.0,2310.0,"выход DisplayPort, выход HDMI",PCI Express 4.0,NVIDIA CUDA,16 pin,7680x4320,4,7.0
"Видеокарта GIGABYTE GeForce GTX 1660 SUPER GAMING OC 6G (GV-N166SGAMING OC-6GD), Retail",17790,Retail,игровая,нет,6144.0,GDDR6,14000.0,192.0,1860.0,"выход DisplayPort x 3, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,4,12.0
Видеокарта Nvidia GeForce RTX 2060 Super 8Gb GDDR6 256bit dual fan (DP 3/ hdmi 1),19990,OEM,игровая,нет,8192.0,GDDR6,14000.0,256.0,1665.0,"выход DisplayPort x 3, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка трассировки лучей",8 pin,7680 х 4320,4,12.0
"Видеокарта GIGABYTE GeForce GTX 1080 Ti 1632MHz PCI-E 3.0 11264MB 11448MHz 352 bit DVI 3xHDMI HDCP Aorus Xtreme Edition, Retail",27650,Retail,игровая,нет,11264.0,GDDR5X,11448.0,352.0,1632.0,"выход DVI, выход DisplayPort x 3, выход HDMI x 3",PCI Express 3.0,нет,8 pin + 8 pin,7680x4320,4,16.0
"Видеокарта GIGABYTE GeForce GTX 1660 SUPER D6 6G, GV-N166SD6-6GD, Retail",21200,Retail,игровая,необходимость дополнительного питания,6144.0,GDDR6,14000.0,192.0,1530.0,"выход DisplayPort x 3, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,4,12.0
"Видеокарта Sinotex Ninja GeForce GT 740 2GB (NH74NP025F), Retail",5159,Retail,игровая,нет,2048.0,GDDR5,5000.0,128.0,1100.0,"выход DVI, выход HDMI, выход VGA",PCI Express 3.0,нет,8 pin,4096x2160,3,28.0
"Видеокарта MSI GEFORCE GTX 1060 ARMOR 6G OCV1, Retail",12000,Retail,игровая,нет,6144.0,GDDR5,8008.0,192.0,1544.0,"выход DVI, выход DisplayPort x 2, выход HDMI x 2",PCI Express 3.0,нет,8 pin,7680x4320,4,16.0
"Видеокарта AFOX Radeon RX 550 4GB (AFRX550-4096D5H4), Retail",7490,Retail,игровая,нет,4096.0,GDDR5,6000.0,128.0,1090.0,"выход DVI, выход DisplayPort, выход HDMI, выход VGA",PCI Express 3.0,нет,8 pin,7680x4320,3,14.0
Видеокарта GeForce-GT210-Graphic 512 MB,1800,OEM,игровая,низкопрофильная карта (Low Profile),512.0,GDDR3,1600.0,64.0,550.0,выход HDMI,PCI Express 2.0,поддержка CUDA,8 pin,2560x1600,3,40.0
"Видеокарта GIGABYTE GeForce GTX 1660 SUPER OC 6G, GV-N166SOC-6GD, Retail",22100,Retail,игровая,необходимость дополнительного питания,6144.0,GDDR6,14000.0,192.0,1830.0,"выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,4,12.0
