Видеокарта,Цена,комплектация,область применения,особенности,объем видеопамяти,тип памяти,частота памяти,шина обмена с памятью,частота видеопроцессора,разъемы и интерфейсы,тип подключения,поддержка технологий,разъем дополнительного питания,максимальное разрешение,количество поддерживаемых мониторов,техпроцесс
"Видеокарта Sinotex Ninja GeForce GT1030 4GB (NK103FG44F), Retail",7400,Retail,игровая,низкопрофильная карта (Low Profile),4096.0,GDDR4,2100.0,64.0,1152.0,"выход DVI, выход HDMI",PCI Express 3.0,поддержка CUDA,8 pin,4096x2160,2,16.0
Видеокарта RTX 3090 Palit Гейм Рок,86999,Retail,игровая,необходимость дополнительного питания,24576.0,GDDR6X,19500.0,384.0,1395.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка трассировки лучей",8 pin+8 pin+8 pin,7680x4320,4,8.0
"Видеокарта Palit GeForce RTX 4070 Ti GameRock Classic OC 12GB (NED407TH19K9-1046G), Retail",100459,Retail,игровая,необходимость дополнительного питания,12288.0,GDDR6X,21000.0,192.0,2760.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",16 pin,7680x4320,4,5.0
Видеокарта Palit GeForce GTS 450 GDDR5 1GB,4375,Retail,игровая,нет,1024.0,GDDR5,3608.0,128.0,783.0,выход DVI,PCI Express 2.0,нет,6 pin,2560x1600,2,40.0
"Видеокарта AFOX GeForce GT 710 2GB (AF710-2048D3L7), Retail",5385,Retail,игровая,нет,2048.0,GDDR3,1600.0,64.0,954.0,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,нет,8 pin,4096x2160,3,28.0
"Видеокарта MSI GeForce GTX 1650 VENTUS XS 4G, Retail",18309,Retail,игровая,нет,4096.0,GDDR5,8000.0,128.0,1665.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,3,12.0
Видеокарта Ninja RTX2060 6GB 192bit GDDR6 (NF206FG66F),21990,Retail,игровая,нет,6144.0,GDDR6,14000.0,192.0,1680.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,NVIDIA CUDA,8 pin,7680x4320,3,12.0
"Видеокарта Palit GeForce GT 710 2GB (NEAT7100HD46-2080F), Retail",4784,Retail,игровая,нет,2048.0,GDDR3,1600.0,64.0,954.0,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,нет,8 pin,2560x1600,2,28.0
Видеокарта GIGABYTE GeForce GTX 1080 1784Mhz PCI-E 3.0 8192Mb 10400Mhz 256 bit DVI 3xHDMI HDCP Xtreme Gaming,20790,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR5X,10400.0,256.0,1784.0,"выход DVI, выход DisplayPort, выход DisplayPort x 3, выход HDMI x 3",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",8 pin + 8 pin,7680x4320,4,16.0
"Видеокарта Palit GeForce RTX 3070 Ti GameRock 8GB (NED307T019P2-1047G), Retail",80000,Retail,игровая,нет,8192.0,GDDR6X,19000.0,256.0,1575.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка CUDA,8 pin + 8 pin,7680x4320,4,8.0
"Видеокарта Biostar Radeon RX 6900 XT 16GB (VA69T6AMP2), Retail",73651,Retail,игровая,нет,16384.0,GDDR6,18000.0,256.0,1825.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,нет,8 pin,4096x2160,4,7.0
"Видеокарта AFOX GeForce GT 1030 4GB (AF1030-4096D4H5), Retail",7690,Retail,игровая,нет,4096.0,GDDR3,1333.0,64.0,1152.0,"выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP",8 pin,4096x2160,2,16.0
"Видеокарта ASUS Dual GeForce RTX 3060 V2 12GB (DUAL-RTX3060-12G-V2), Retail",35550,Retail,игровая,нет,12288.0,GDDR6,15000.0,192.0,1777.0,"выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,нет,8 pin,7680x4320,4,8.0
Видеокарта GeForce RTX 3090 PALIT GamingPro 24GB GDDR6X,84990,OEM,игровая,нет,24576.0,GDDR6X,21000.0,384.0,2282.5,"выход DisplayPort, выход HDMI",PCI Express 4.0,нет,8 pin,7680x4320,2,5.0
"Видеокарта Palit GeForce GTX 1660 Dual 6GB (NE51660018J9-1161C), Bulk",31576,Bulk,игровая,необходимость дополнительного питания,6144.0,GDDR5,8000.0,192.0,1530.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,3,12.0
Видеокарта Ninja GT240 PCIE (96SP) 1G 128BIT DDR3 (DVI/HDMI/CRT),2790,Retail,игровая,нет,1024.0,GDDR3,1333.0,128.0,550.0,"выход DVI, выход HDMI, выход VGA",PCI Express 3.0,нет,8 pin,2560x1600,3,40.0
"Видеокарта ZOTAC GAMING GeForce GTX 1650 OC GDDR6 (ZT-T16520F-10L), Retail",14999,Retail,игровая,нет,4096.0,GDDR6,12000.0,128.0,1620.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,3,12.0
"Видеокарта AFOX GeForce GTX 750 4GB (AF750-4096D5L4-V2), Retail",8364,Retail,игровая,нет,4096.0,GDDR5,5000.0,128.0,1020.0,"выход DVI, выход HDMI, выход VGA",PCI Express 3.0,"поддержка CUDA, поддержка HDCP",8 pin,2560x1600,3,28.0
"Видеокарта БУ Sapphire AMD Radeon RX 570, 11266-36-20G PULSE RX 570 8G OC, 8ГБ, GDDR5, Ret",7900,Retail,игровая,нет,8192.0,GDDR5,14000.0,256.0,1665.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,4096x2160,2,8.0
"Видеокарта ASUS TUF Gaming GeForce RTX 3060 V2 12GB (TUF-RTX3060-12G-V2-GAMING), Retail",45595,Retail,игровая,необходимость дополнительного питания,12288.0,GDDR6,15000.0,192.0,1320.0,"выход DisplayPort x 3, выход HDMI x 2",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8.0
"Видеокарта ASUS DUAL GeForce GTX 1650 MINI OC 4GB, DUAL-GTX1650-O4GD6-MINI, Retail",16990,Retail,игровая,нет,4096.0,GDDR6,12000.0,128.0,1410.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,3,12.0
"Видеокарта Biostar Radeon RX 6700 XT 12Gb (VA67T6TML9), Retail",38710,Retail,игровая,необходимость дополнительного питания,12288.0,GDDR6,16000.0,192.0,2321.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan",8 pin + 8 pin,7680x4320,4,7.0
Видеокарта Ninja GT710 2GB 64bit DDR3 DVI HDMI CRT PCIE,3890,Retail,игровая,низкопрофильная карта (Low Profile),2048.0,GDDR3,4000.0,64.0,954.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,поддержка CUDA,8 pin,4096x2160,2,28.0
"Видеокарта GIGABYTE GeForce RTX 4070 GAMING OC 12G (GV-N4070GAMING OC-12GD), Retail",70997,Retail,игровая,необходимость дополнительного питания,12288.0,GDDR6X,21000.0,192.0,2565.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",16 pin,7680x4320,4,8.0
Видеокарта HOF RTX4090 HOF PCI-E 24GB GDDR6X (49NXM5MD6PHK),229288,Retail,игровая,нет,24576.0,GDDR6X,21000.0,384.0,2282.5,выход DisplayPort x 3,PCI Express 4.0,нет,8 pin,4096x2160,2,5.0
Видеокарта RTX 2060 Super 8GB GDDR6 256 бит,23999,Retail,игровая,нет,8000.0,GDDR6,14000.0,256.0,1680.0,выход DisplayPort,PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,3,12.0
Видеокарта GIGABYTE PCIE16 RX6750XT 12GB GDDR6 R675XTGAMING OC-12GD,52990,Retail,игровая,нет,12000.0,GDDR6,18000.0,192.0,2150.0,выход DisplayPort x 2,PCI Express 4.0,нет,8 pin + 6 pin,7680x4320,4,7.0
"Видеокарта MSI GeForce RTX 3080 Ti VENTUS 3X 12G OC, Retail",67800,Retail,игровая,нет,12288.0,GDDR6X,19000.0,384.0,1695.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка трассировки лучей,8 pin + 8 pin,7680x4320,4,8.0
"Видеокарта MSI GeForce RTX 3080 GAMING Z TRIO 12G LHR, Retail",110000,Retail,игровая,"Low Hash Rate, необходимость дополнительного питания",12288.0,GDDR6X,19000.0,320.0,1815.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка трассировки лучей",8 pin+8 pin+8 pin,7680x4320,4,8.0
"Видеокарта для компьютера, видеокарта Colorful GeForce RTX 3060 Ti NB DUO V2 LHR-V",41210,Retail,игровая,Low Hash Rate,8192.0,GDDR6,14000.0,256.0,1665.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка CUDA,8 pin,7680x4320,4,8.0
Видеокарта MSI GeForce GTX 1630 D6 Ventus XS 4 ГБ 128 бит GTX 1630 VENTUS XS 4G,15400,Retail,игровая,нет,4096.0,GDDR6,12000.0,64.0,1815.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,3,12.0
"Видеокарта AFOX GeForce GT 740 4GB (AF740-4096D3L3), Retail",5910,Retail,игровая,низкопрофильная карта (Low Profile),4096.0,GDDR3,1600.0,128.0,933.0,"выход DVI, выход HDMI, выход VGA",PCI Express 3.0,"поддержка CUDA, поддержка HDCP",8 pin,4096x2160,2,28.0
"Видеокарта ASUS DUAL Radeon RX 6700 XT 12GB, DUAL-RX6700XT-12G, Retail",40761,Retail,игровая,необходимость дополнительного питания,12288.0,GDDR6,16000.0,192.0,2321.0,"выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 6 pin,7680x4320,4,7.0
"Видеокарта GIGABYTE GeForce GT 730 LP 2GB (GV-N730D5-2GL), Retail",6241,Retail,игровая,низкопрофильная карта (Low Profile),2048.0,GDDR5,5000.0,64.0,902.0,"выход DVI, выход HDMI, выход VGA, PCI-E, PCI-E",PCI Express 2.0,нет,8 pin,4096x2160,3,28.0
"Видеокарта Palit GeForce RTX 4090 GameRock OC 24GB (NED4090S19SB-1020G), Retail",177600,Retail,игровая,необходимость дополнительного питания,24576.0,GDDR6X,21000.0,384.0,2235.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка Vulkan, поддержка трассировки лучей",16 pin,7680x4320,4,5.0
"Видеокарта ASUS TUF Gaming GeForce RTX 4070 Ti 12GB OC (TUF-RTX4070TI-O12G-GAMING), Retail",95500,Retail,игровая,необходимость дополнительного питания,12288.0,GDDR6X,21000.0,192.0,2760.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",16 pin,7680x4320,4,4.0
Видеокарта MSI GeForce RTX 3060 Ti VENTUS 2X 8G V1 LHR (RTX 3060 TI VENTUS 2X 8G V1 LHR),41000,Retail,игровая,Low Hash Rate,8192.0,GDDR6,14000.0,256.0,1665.0,выход HDMI,PCI Express 4.0,поддержка трассировки лучей,8 pin,7680x4320,4,8.0
"Видеокарта KFA2 GeForce RTX 3060 CORE 8GB (36NSL8MD6OCK), Retail",30790,Retail,игровая,нет,8192.0,GDDR6,15000.0,192.0,1777.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка CUDA,8 pin,7680x4320,4,8.0
"Видеокарта GIGABYTE GeForce RTX 3070 EAGLE 8G (rev. 2.0) (GV-N3070EAGLE-8GD), Retail",48661,Retail,игровая,Low Hash Rate,8192.0,GDDR6,14000.0,256.0,1500.0,"выход DisplayPort x 2, выход DisplayPort x 3, выход HDMI x 2",PCI Express 4.0,поддержка трассировки лучей,8 pin + 6 pin,7680x4320,4,8.0
"Видеокарта Sinotex Ninja GeForce GTX 750 Ti 4GB (NH75TI045F), Retail",10190,Retail,игровая,нет,4096.0,GDDR5,5400.0,128.0,1020.0,"выход DVI, выход HDMI, выход VGA",PCI Express 3.0,нет,6 pin,4096x2160,3,28.0
"Видеокарта GIGABYTE GeForce GT 730 2GB, GV-N730D3-2GI rev. 3.0, Retail",8647,Retail,игровая,нет,2048.0,GDDR3,1600.0,64.0,902.0,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",8 pin,4096x2160,3,28.0
"Видеокарта GIGABYTE GeForce RTX 3060 GAMING OC 12G (GV-N3060GAMING OC-12GD) (rev. 1.0), Retail",34730,Retail,игровая,необходимость дополнительного питания,12288.0,GDDR6,15000.0,192.0,1837.0,"выход DisplayPort, выход DisplayPort x 2, выход HDMI, выход HDMI x 2, интерфейс USB Type-C, PCI-E",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8.0
Видеокарта GIGABYTE AMD Radeon R7 360 OC [GV-R736OC-2GD],6500,Retail,игровая,нет,2048.0,GDDR5,4000.0,128.0,1050.0,"выход DVI x 2, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,4096x2160,4,28.0
"Видеокарта GIGABYTE GeForce RTX 3060 Ti EAGLE OC D6X 8G (GV-N306TXEAGLE OC-8GD), Retail",43910,Retail,игровая,нет,8192.0,GDDR6X,14000.0,256.0,1665.0,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,"поддержка CUDA, поддержка HDCP",8 pin + 8 pin,7680x4320,4,8.0
"Видеокарта GIGABYTE AORUS Radeon RX 6900 XT MASTER 16G (GV-R69XTAORUS M-16GD), Retail",54400,Retail,игровая,необходимость дополнительного питания,16384.0,GDDR6,16000.0,256.0,2015.0,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,"поддержка Vulkan, поддержка трассировки лучей",8 pin+8 pin+8 pin,7680x4320,4,7.0
Видеокарта KFA2 GeForce GTX 1660 Ti (1-Click OC) [60IRL7DSY91K],16731,Retail,игровая,нет,6144.0,GDDR6,14000.0,192.0,1530.0,выход DisplayPort,PCI Express 3.0,нет,8 pin,4096x2160,2,12.0
"Видеокарта EVGA GeForce RTX 3070 XC3 ULTRA GAMING, 8 GB (08G-P5-3755-KL LHR), Retail",54490,Retail,игровая,Low Hash Rate,8192.0,GDDR6,14000.0,256.0,1500.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8.0
Видеокарта Sapphire NITRO+ AMD Radeon RX 7900 XTX Vapor-X 24GB (11322-01-40G),120738,Retail,игровая,необходимость дополнительного питания,24576.0,GDDR6,20000.0,384.0,2510.0,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin+8 pin+8 pin,7680x4320,4,5.0
"Видеокарта GIGABYTE GeForce RTX 3080 VISION OC 10G (GV-N3080VISION OC-10GD) rev. 2.0, Retail",64500,Retail,игровая,нет,10240.0,GDDR6X,19000.0,320.0,1800.0,"выход DisplayPort x 3, выход HDMI x 2",PCI Express 4.0,нет,8 pin + 8 pin,7680x4320,4,8.0
"Видеокарта PowerColor Liquid Devil Radeon RX 6800 XT 16GB (AXRX 6800XT 16GBD6-W2DHC/OC), Retail",59829,Retail,игровая,нет,16384.0,GDDR6,16000.0,256.0,2110.0,"выход DisplayPort x 2, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,нет,8 pin+8 pin+8 pin,7680x4320,3,7.0
Видеокарта 24 Гб Asus GeForce RTX 3090 ROG Strix White (ROG-STRIX-RTX3090-24G-WHITE),133090,Retail,игровая,нет,24576.0,GDDR6X,19500.0,384.0,1890.0,выход DisplayPort x 3,PCI Express 4.0,поддержка трассировки лучей,8 pin+8 pin+8 pin,7680x4320,4,8.0
"Видеокарта PowerColor Radeon RX 6800 Fighter 16GB (AXRX 6800 16GBD6-3DH/OC), Retail",56690,Retail,игровая,необходимость дополнительного питания,16384.0,GDDR6,16000.0,256.0,1925.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,7.0
Видеокарта ASUS TUF-RTX3060TI-O8GD6X-GAMING,48500,Retail,игровая,нет,8192.0,GDDR6X,14000.0,256.0,1665.0,выход HDMI,PCI Express 4.0,нет,8 pin,4096x2160,4,8.0
"Видеокарта Palit GeForce RTX 3080 Ti GamingPro 12GB (NED308T019KB-132AA), Retail",87156,Retail,игровая,необходимость дополнительного питания,12288.0,GDDR6X,16000.0,384.0,1365.0,"выход DisplayPort x 3, выход HDMI, интерфейс USB Type-C",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8.0
"Видеокарта ASUS ROG Strix Radeon RX 6600 XT OC 8GB, ROG-STRIX-RX6600XT-O8G-GAMING, Retail",38000,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR6,16000.0,128.0,2064.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,4,7.0
"Видеокарта GIGABYTE GeForce GT 710 Silent LP 2GB (GV-N710D5SL-2GL), Retail",6840,Retail,игровая,нет,2048.0,GDDR5,5010.0,64.0,954.0,"выход DVI, выход HDMI",PCI Express 2.0,нет,8 pin,4096x2160,2,28.0
"Видеокарта Sapphire- Nitro+ RADEON RX 6700 XT 12G D6 OC, Bulk",34990,Retail,профессиональная,нет,12288.0,GDDR6,16000.0,256.0,1920.0,выход HDMI,PCI Express 4.0,нет,8 pin + 8 pin,7680×4320,4,8.0
Видеокарта ASUS GeForce GTX 1660 SUPER 6 ГБ (GTX1660S-O6G-Gaming),15795,Retail,игровая,нет,6144.0,GDDR6,14002.0,192.0,1830.0,выход DVI,PCI Express 3.0,нет,8 pin,4096x2160,2,12.0
Видеокарта RTX3060 GAMING OC 8GB GDDR6 128bit 2xHDMI 2xDP RTL,40462,Retail,игровая,нет,8000.0,GDDR6,1500.0,192.0,1807.0,"выход DisplayPort, выход HDMI",PCI Express 4.0,нет,8 pin,4096x2160,4,8.0
"Видеокарта GIGABYTE GeForce RTX 4070 AERO OC 12G (GV-N4070AERO OC-12GD), Retail",72593,Retail,игровая,необходимость дополнительного питания,12288.0,GDDR6X,21000.0,192.0,2565.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",16 pin,7680x4320,4,8.0
"Видеокарта ASUS TUF Gaming GeForce GTX 1660 Ti EVO Gaming 6Gb, TUF-GTX1660TI-6G-EVO-GAMING, Retail",27064,Retail,игровая,необходимость дополнительного питания,6144.0,GDDR6,12002.0,192.0,1770.0,"выход DVI, выход DisplayPort, выход HDMI x 2",PCI Express 3.0,нет,8 pin,7680x4320,4,12.0
Видеокарта Gigabyte RTX4070 AERO OC 12GB,77330,Retail,игровая,нет,12288.0,GDDR6X,16000.0,192.0,2565.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка трассировки лучей",16 pin,7680x4320,4,8.0
Видеокарта Gigabyte GTX1630 4GB GDDR5 128bit DVI HDMI DP RTL (311148),17300,Retail,игровая,нет,4096.0,GDDR6,12000.0,64.0,1815.0,"выход DVI, выход DisplayPort, выход HDMI, DVI-D",PCI Express 3.0,нет,8 pin,7680x4320,3,12.0
"Видеокарта Palit GeForce GTX 1660 SUPER StormX OC 6GB (NE6166SS18J9-161F), Retail",20990,Retail,игровая,необходимость дополнительного питания,6144.0,GDDR6,14000.0,192.0,1530.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan",8 pin,7680x4320,3,12.0
"Видеокарта PowerColor Fighter Radeon RX 6700 10GB (AXRX 6700 10GBD6-3DH/OC), Retail",38036,Retail,игровая,необходимость дополнительного питания,10240.0,GDDR6,16000.0,160.0,2495.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 6 pin,7680x4320,4,7.0
"Видеокарта AFOX GeForce GT 710 2 GB (AF710-2048D3L5-V3), Retail",3690,Retail,игровая,нет,2048.0,GDDR3,1600.0,64.0,954.0,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,нет,8 pin,4096x2160,2,28.0
Видеокарта GeForce GT 710 2 ГБ (GV-N710D3-2GL),10133,Retail,игровая,нет,2048.0,GDDR3,4000.0,64.0,954.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 2.0,нет,8 pin,4096x2160,2,28.0
Видеокарта 6.0 Гб Gainward GeForce GTX 1660 Ti GHOST,15800,Retail,игровая,необходимость дополнительного питания,6144.0,GDDR6,12000.0,192.0,1770.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,поддержка Vulkan,8 pin,7680x4320,3,12.0
"Видеокарта GIGABYTE GeForce RTX 3070 VISION OC 8G (rev. 2.0) (GV-N3070VISION OC-8GD), Retail",55400,Retail,игровая,"Low Hash Rate, необходимость дополнительного питания",8192.0,GDDR6,14000.0,256.0,1815.0,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка трассировки лучей",8 pin + 6 pin,7680x4320,4,8.0
Видеокарта PowerColor PCI-E 4.0 4Gb GDDR6 Radeon RX 6500XT AXRX 4GBD6-DH AMD HDMIx1 DPx,13200,Retail,игровая,нет,4096.0,GDDR6,8000.0,128.0,1410.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,нет,8 pin,4096x2160,2,12.0
Видеокарта INNO3D GEFORCE RTX 3060 TI GDDR6X ICHILL X4 (C306T4-086XX-1820VA35R),43875,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR6X,19000.0,256.0,1410.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8.0
Видеокарта GIGABYTE RTX3060TI 8G GDDR6X N306TXGAMING OC-8GD,45136,Retail,игровая,нет,8192.0,GDDR6X,19000.0,256.0,1755.0,"выход DisplayPort x 2, выход HDMI x 2, интерфейс USB Type-C",PCI Express 4.0,нет,8 pin + 8 pin,7680x4320,4,8.0
"Видеокарта MSI GeForce RTX 3060 Ti GAMING X TRIO 8GD6X, Retail",48390,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR6X,19000.0,256.0,1845.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8.0
Видеокарта Asus PCI-E 4.0 DUAL-RTX3060-O8G NVIDIA GeForce RTX 306 0 8192Mb 128 GDDR6 1837/15000 HDMIx1 DPx3 HDCP Ret,31990,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR6,15000.0,128.0,1867.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,8.0
Видеокарта Radeon RX 6750 XT GAMING X TRIO 12G,54090,Retail,игровая,нет,12288.0,GDDR6,18000.0,192.0,2623.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка трассировки лучей,8 pin + 8 pin,7680x4320,2,8.0
Видеокарта 12 Gb Gigabyte GeForce RTX3060 VISION OC (GV-N3060VISION OC-12GD 2.0),42843,Retail,игровая,нет,12000.0,GDDR6,15000.0,192.0,1837.0,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,нет,8 pin,7680x4320,4,8.0
Видеокарта ZOTAC RTX 3080ti 12gb,69990,Retail,игровая,нет,12288.0,GDDR6X,16000.0,192.0,1920.0,"выход DisplayPort, выход HDMI",PCI Express 4.0,нет,8 pin,7680x4320,2,8.0
Видеокарта Palit RTX4070Ti GAMEROCK OC 12GB GDDR6X 192bit 3-DP HDMI RTL,96052,Retail,игровая,нет,12000.0,GDDR6X,21000.0,192.0,2310.0,"выход DisplayPort, выход HDMI",PCI Express 4.0,NVIDIA CUDA,16 pin,7680x4320,4,7.0
"Видеокарта GIGABYTE GeForce RTX 3080 TURBO 10G, GV-N3080TURBO-10GD rev. 2.0, Retail",97244,Retail,игровая,необходимость дополнительного питания,10240.0,GDDR6X,19000.0,320.0,1710.0,"выход DisplayPort x 2, выход HDMI x 2",PCI Express 4.0,"поддержка CUDA, поддержка трассировки лучей",8 pin + 8 pin,7680x4320,4,8.0
Видеокарта JUSHA ATI RADEON HD6450 1GB,1999,OEM,игровая,пассивное охлаждение,1024.0,GDDR3,627.0,64.0,625.0,"выход DVI, выход HDMI, выход VGA",PCI Express 2.0,нет,8 pin,2048x1536,3,40.0
"Видеокарта Colorful GeForce RTX 2060 SUPER NB 8G V, Retail",26990,Retail,игровая,необходимость дополнительного питания,8192.0,GDDR6,14000.0,256.0,1470.0,"выход DVI, выход DisplayPort, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка трассировки лучей",8 pin,4096x2160,3,12.0
"Видеокарта AFOX GeForce GT 1030 2 GB (AF1030-2048D5L5-V2), Retail",7294,Retail,игровая,нет,2048.0,GDDR5,6008.0,64.0,1265.0,"выход DVI, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP",8 pin,4096x2160,2,14.0
"Видеокарта GIGABYTE GeForce RTX 2060 OC 6G (rev. 2.0) (GV-N2060OC-6GD), Retail",55000,Retail,игровая,нет,6144.0,GDDR6,14000.0,192.0,1755.0,"выход DisplayPort x 3, выход HDMI",PCI Express 3.0,нет,8 pin,7680x4320,4,12.0
Видеокарта MSI RTX4090 SUPRIM 24GB GDDR6X 384-bit HDMI DPx3 (027656),234777,Retail,игровая,нет,24576.0,GDDR6X,21000.0,384.0,2610.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,поддержка CUDA,16 pin,7680x4320,4,4.0
"Видеокарта Sapphire NITRO+ Radeon RX 6750 XT 12GB (11318-01-20G), Retail",48700,Retail,игровая,необходимость дополнительного питания,12288.0,GDDR6,18000.0,192.0,2623.0,"выход DisplayPort x 3, выход HDMI",PCI Express 4.0,"поддержка HDCP, поддержка Vulkan",8 pin + 6 pin,7680x4320,4,7.0
Видеокарта Afox GT610 LP 1GB DDR3 64BIT DVI HDMI VGA SINGLE FAN RETAIL PACK (784528),2890,Retail,игровая,нет,1024.0,GDDR3,1333.0,64.0,810.0,"выход DVI, выход HDMI, выход VGA",PCI Express 3.0,нет,8 pin,4096x2160,2,40.0
"Видеокарта MSI GeForce RTX 2060 VENTUS 12G OC, Retail",44946,Retail,игровая,необходимость дополнительного питания,12288.0,GDDR6,14000.0,192.0,1680.0,"выход DisplayPort x 3, выход HDMI",PCI Express 3.0,"поддержка CUDA, поддержка HDCP, поддержка Vulkan, поддержка трассировки лучей",8 pin,7680x4320,4,12.0
